Name,Team,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,RS,RS/9,Balls,Strikes,Pitches,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,NameASCII,PlayerId,MLBAMID
"Michael Roth","LAA",0.36923076923076925,1.444444444,0.301587301,0.412698412,0.285714285,0,0,9,4.050001593232782,144,226,370,0.546875,0.171875,0.28125,0.171875,0.546875,0.28125,"Michael Roth",13736,607706
"Bruce Chen","KCR",0.2554347826086957,0.533333333,0.204787234,0.276595744,0.518617021,0.123076923,0.066666666,59,4.388429337011668,665,1297,1962,0.36220472,0.32020997,0.3175853,0.22047244,0.49868766,0.2808399,"Bruce Chen",769,136600
"Peter Moylan","LAD",0.37037037037037035,0.64,0.280701754,0.280701754,0.438596491,0.04,0.12,7,4.108697015081328,101,146,247,0.38596491,0.38596491,0.22807018,0.14035088,0.57894737,0.28070175,"Peter Moylan",4891,493247
"Brad Ziegler","ARI",0.2577777777777778,6.541666666,0.188340807,0.704035874,0.107623318,0.125,0.125,27,3.328767471184662,342,640,982,0.50438596,0.33333333,0.1622807,0.15789474,0.56140351,0.28070175,"Brad Ziegler",7293,446899
"Chris Perez","CLE",0.29411764705882354,1.218181818,0.227848101,0.424050632,0.348101265,0.054545454,0.2,8,1.333333427523396,319,576,895,0.38414634,0.34146341,0.27439024,0.10365854,0.61585366,0.2804878,"Chris Perez",5213,453198
"Chris Archer","TBR",0.2534435261707989,1.375,0.191489361,0.468085106,0.340425531,0.09375,0.1171875,53,3.7072537394606146,768,1335,2103,0.34391534,0.37566138,0.28042328,0.15079365,0.56878307,0.28042328,"Chris Archer",6345,502042
"Adam Wainwright","STL",0.3054331864904552,1.784946236,0.23372781,0.49112426,0.275147928,0.096774193,0.080645161,137,5.102069180279717,1149,2384,3533,0.39655172,0.35488506,0.24856322,0.16666667,0.55316092,0.28017241,"Adam Wainwright",2233,425794
"Wily Peralta","MIL",0.2926829268292683,1.842767295,0.212543554,0.510452961,0.277003484,0.081761006,0.119496855,72,3.5345455526052456,1164,1823,2987,0.32546374,0.38279933,0.29173693,0.16526138,0.55480607,0.27993255,"Wily Peralta",7738,503449
"Jake Arrieta","- - -",0.23923444976076555,1.178082191,0.253521126,0.403755868,0.342723004,0.09589041,0.123287671,41,4.898229551087572,481,784,1265,0.31192661,0.3853211,0.30275229,0.20642202,0.51376147,0.27981651,"Jake Arrieta",4153,453562
"Tyler Lyons","STL",0.28205128205128205,1.423076923,0.192307692,0.474358974,0.333333333,0.019230769,0.096153846,21,3.5660377358490565,269,518,787,0.32919255,0.44099379,0.22981366,0.18012422,0.54037267,0.27950311,"Tyler Lyons",11334,544928
"Tyler Chatwood","COL",0.3138888888888889,2.8,0.206128133,0.584958217,0.208913649,0.04,0.066666666,76,6.143712434512556,696,1086,1782,0.35616438,0.37534247,0.26849315,0.15616438,0.56438356,0.27945205,"Tyler Chatwood",4338,543022
"Andrew Miller","BOS",0.3384615384615385,2.466666666,0.212121212,0.56060606,0.227272727,0.066666666,0.2,8,2.347826427683312,202,353,555,0.41176471,0.36764706,0.22058824,0.10294118,0.61764706,0.27941176,"Andrew Miller",6785,453192
"Chris Sale","CHW",0.289048473967684,1.456521739,0.213913043,0.466086956,0.32,0.081521739,0.125,76,3.191290899992589,1076,2172,3248,0.4,0.33793103,0.26206897,0.1862069,0.53448276,0.27931034,"Chris Sale",10603,519242
"Brett Cecil","TOR",0.26666666666666666,1.790697674,0.2,0.513333333,0.286666666,0.116279069,0.093023255,46,6.824179972160658,336,583,919,0.42857143,0.37012987,0.2012987,0.18181818,0.53896104,0.27922078,"Brett Cecil",2660,446399
"Koji Uehara","BOS",0.18791946308724833,0.835616438,0.112582781,0.403973509,0.483443708,0.205479452,0.06849315,19,2.300448824014163,274,775,1049,0.44805195,0.35064935,0.2012987,0.25974026,0.46103896,0.27922078,"Koji Uehara",9227,493157
"Jeremy Affeldt","SFG",0.24509803921568626,2.7,0.252525252,0.545454545,0.202020202,0.05,0.1,4,1.0693072537887887,217,306,523,0.35576923,0.31730769,0.32692308,0.19230769,0.52884615,0.27884615,"Jeremy Affeldt",583,346793
"Joel Peralta","TBR",0.22727272727272727,0.49484536,0.194444444,0.266666666,0.538888888,0.12371134,0.072164948,32,4.037384329076557,411,762,1173,0.30054645,0.38251366,0.31693989,0.24043716,0.48087432,0.27868852,"Joel Peralta",2332,407908
"Jordan Zimmermann","WSN",0.2711598746081505,1.52,0.211267605,0.475743348,0.312989045,0.11,0.095,122,5.146874754577887,973,2110,3083,0.38508371,0.35159817,0.26331811,0.17047184,0.55098935,0.27853881,"Jordan Zimmermann",4505,519455
"Evan Reed","DET",0.33766233766233766,2.05,0.217948717,0.525641025,0.256410256,0.05,0.1,12,4.628569410675306,147,240,387,0.34177215,0.40506329,0.25316456,0.07594937,0.64556962,0.27848101,"Evan Reed",1349,519175
