Name,Team,IP,FA-X,FT-X,FC-X,FS-X,FO-X,SI-X,SL-X,CU-X,KC-X,EP-X,CH-X,SC-X,KN-X,NameASCII,PlayerId,MLBAMID
"Jumbo Díaz","CIN",43,-2.5465074650894794,,,,,-7.2900000939002405,4.9018848678828535,,,,-5.968095325288319,,,"Jumbo Diaz",3397,471822
"Drew Butera","KCR",1.1,-7.596250057220459,,,,,-9.240000406901041,,-9.217499732971191,,,-6.854285648890904,,,"Drew Butera",3411,460077
"Danny Duffy","KCR",179.2,4.200164617494095,,,,,7.75624571683114,3.490000009536743,-2.9748397362537875,,-0.6961538608257587,9.689122398098736,,,"Danny Duffy",3542,518633
"Clay Buchholz","BOS",139.1,-3.8782715974030673,,0.8599178776359166,-4.524782429570737,,-7.09647543123453,,9.290523565383184,,,-5.547038922991072,,,"Clay Buchholz",3543,453329
"Carlos Frías","LAD",4,-7.5566666920979815,,-1.512857164655413,,,-9.534666951497396,,1.3566667238871257,,,-8.007499694824219,,,"Carlos Frias",3547,516910
"Liam Hendriks","OAK",64.2,-2.30499998874928,,,,,-5.6137855090395945,1.4249180861509563,3.5616981938200176,,,-4.9525001525878904,,,"Liam Hendriks",3548,521230
"Clayton Richard","- - -",67.2,9.509385828386273,,,,,12.17920367485654,2.493600082397461,2.528727219321511,,,9.856530611206885,,,"Clayton Richard",3551,453385
"Tony Barnette","TEX",60.1,-0.6944999694824219,,4.626951819435161,-4.079596008917298,,-6.324971861758475,6.856851648401331,9.534680954953457,,,,,,"Tony Barnette",3555,501817
"Jim Johnson","ATL",64.2,-3.2657798277128727,,,,,-8.406750229404567,,3.318646653254229,,,-7.909295740261884,,,"Jim Johnson",3656,462382
"Logan Ondrusek","BAL",6.1,-3.1416667302449546,,2.1974286760602677,,,-7.194705738740809,,5.395833333333333,,,-0.015454534779895435,,,"Logan Ondrusek",3677,446185
"Mat Latos","- - -",70,-1.4203614614096032,,1.6156625977481704,0.8677957275862335,,-4.275105202948297,1.956168246046405,3.281969691767837,,,-4.278133532206217,,,"Mat Latos",3815,502009
"Ricky Nolasco","- - -",197.2,-4.025333333333333,,,-5.351666833600428,,-8.511692682902018,2.2107968640860363,8.791507444519928,,,,,,"Ricky Nolasco",3830,445060
"Matt Buschmann","ARI",4.1,-3.477916717529297,,,,,-8.685625076293945,0.3816666603088379,,,,-6.594444274902344,,,"Matt Buschmann",3832,501936
"Zach Duke","- - -",61,3.4268235150505513,,,,,8.650666599647671,-3.9121428650695007,-7.385048059316782,,,7.8095456903631035,,,"Zach Duke",3840,435043
"Brett Oberholtzer","- - -",70.1,6.355804262853195,,,,,9.117377666090938,4.00604651695074,,-0.9799999647502657,,7.150379103057238,,,"Brett Oberholtzer",3855,519085
"Rubby De La Rosa","ARI",50.2,-5.716074289369189,,,,,-8.714000008322976,4.119999969354733,6.645713806152344,,,-7.652941044639139,,,"Rubby De La Rosa",3862,523989
"Gavin Floyd","TOR",31,-4.6258789733216,,-0.5204166571299235,,,-9.097026928051099,,5.18801254367236,,,-5.9199998038155695,,,"Gavin Floyd",3886,425856
"Enrique Burgos","ARI",41.1,-4.5148385746687785,,,-2.216476641203228,,-9.199999809265137,3.649999952501824,,,,,,,"Enrique Burgos",3895,542609
"Casey Fien","- - -",39.1,-2.5731562110672757,,,,,-6.191224390146684,-0.09520322908230913,5.3432692014254055,,,,,,"Casey Fien",3926,502272
"Matt Magill","CIN",4.1,-4.3119643075125555,,2.246363726529208,,,,2.359090978449041,,,,-5.792500019073486,,,"Matt Magill",3950,543483
"Edinson Volquez","KCR",189.1,-6.425162638040414,,,,,-8.97217057192498,,,5.336595671346997,,-6.953584679001046,,,"Edinson Volquez",3990,450172
"Enny Romero","TBR",45.2,7.149364406779661,,1.9799024628429878,,,,0.5865625143051147,,,,13.59000015258789,,,"Enny Romero",4001,544836
"Yusmeiro Petit","WSN",62,-2.877849521431872,,0.33040001094341276,,,,-0.5658522925593636,6.881401353580936,,,-4.56916022846717,,,"Yusmeiro Petit",4020,433589
