Name,Team,IP,Pit+ FA,Pit+ SI,Pit+ FC,Pit+ FS,Pit+ SL,Pit+ CU,Pit+ CH,Pit+ KC,Pit+ FO,Stuff+,Location+,Pitching+,NameASCII,PlayerId,MLBAMID
"Elvin Rodríguez","DET",29.2,95.0035,81.49714285714286,166.2,,93.85571904266389,74.35454545454546,94.58956521739131,,,90.47797541805139,98.6429487788152,93.54553726855515,"Elvin Rodriguez",20962,660730
"Taylor Widener","ARI",17.1,99.05363228699551,,35.25999999999999,,90.04727272727273,99.705,70.50411764705882,,,101.8355623100304,93.28018237082065,93.53525835866263,"Taylor Widener",19266,642203
"Cam Vieaux","PIT",8.2,85.11425531914892,,,,104.57818181818182,,92.89135135135135,,,93.94859903381641,101.47169082125605,93.52657004830917,"Cam Vieaux",19529,664944
"Dylan Bundy","MIN",140,91.40876300578034,88.80954248366014,,,88.51251439539348,100.90278260869565,101.30965686274509,,,91.88214974735875,103.24660542030314,93.46415250344512,"Dylan Bundy",12917,605164
"David Price","LAD",40.1,81.60980079681276,99.99253333333333,111.6288679245283,,,,92.46281250000001,88.72800000000001,,91.22352941176472,103.83653781512606,93.44857142857136,"David Price",3184,456034
"Aaron Brooks","STL",9.1,48.69777777777779,78.58153846153846,,,136.25314285714285,,110.64999999999999,99.50333333333333,,88.44597402597401,102.14935064935067,93.43103896103895,"Aaron Brooks",12272,605156
"Kolby Allard","TEX",21,92.47610062893082,,102.27303030303031,,,94.1025,85.4796551724138,,,96.26711409395972,96.74604026845637,93.38973154362417,"Kolby Allard",18694,663465
"Nick Nelson","PHI",68.2,98.31628626692455,253.52,,,94.96217558501066,83.84139534883721,85.42573863636363,,,97.53353262422752,92.28150211660058,93.35069052977528,"Nick Nelson",20153,656793
"Adam Wainwright","STL",191.2,76.76873720136518,75.16780711825487,100.41061224489793,,53.61333333333334,112.46991666666666,77.0415873015873,,,96.0539444267008,99.03773235388051,93.33467901628869,"Adam Wainwright",2233,425794
"Mason Thompson","WSN",24.2,109.19428571428571,90.80935849056605,,,106.22636363636366,,66.224,,,94.38767123287671,99.86213698630135,93.32969863013696,"Mason Thompson",21850,666168
"Jonathan Heasley","KCR",104,92.17015681544031,80.7746153846154,,,97.8711111111111,88.56400000000001,98.26616187989553,,,92.0830467899891,100.49755168661581,93.29330794341675,"Jonathan Heasley",22224,669169
"Michael Grove","LAD",29.1,97.04697095435684,,,,94.58399999999999,,,85.78294117647059,,90.77692272847382,103.5455647200936,93.28793005171566,"Michael Grove",23221,675627
"Phoenix Sanders","TBR",14.2,85.56436363636362,,,,105.37603603603604,,,74.47428571428571,,95.77581395348837,104.12613953488373,93.2652093023256,"Phoenix Sanders",20541,676637
"Cristofer Ogando","TBR",4.1,102.33999999999999,80.47290322580645,,,87.898,,,,,103.37567567567568,95.00351351351351,93.25324324324325,"Cristofer Ogando",20667,642657
"Louis Head","- - -",28.2,85.64940639269405,,,,99.51920792079208,,84.85750000000002,,,92.24907976377365,98.89293750467219,93.2307494206474,"Louis Head",13259,545343
