Name,Team,IP,K/9+,BB/9+,K/BB+,HR/9+,K%+,BB%+,AVG+,WHIP+,BABIP+,LOB%+,ERA-,FIP-,xFIP-,LD%+,GB%+,FB%+,NameASCII,PlayerId,MLBAMID
"Dayan Díaz","HOU",13,166.84021019777362,86.20113682645076,164.51543566135635,158.71835240269436,159.81253398464642,82.5701535885923,125.13363443658345,121.2416519784262,152.8702431279063,57.421745634797304,212.8293071663782,92.32985135585022,50.69108355556798,159.97941643207722,95.13324835462731,72.53434601860695,"Dayan Diaz",11543,500765
"Aaron Loup","TOR",57.2,120.35640465507417,140.88653856383257,85.42789354054347,47.70724991225833,111.92908006061921,131.021697340833,101.9631097992212,114.5338136654268,114.92229476767204,104.45041521218698,85.82646372823909,82.18929416600551,92.26150317260303,99.51835595218841,123.51082090085718,72.38228231567332,"Aaron Loup",10343,571901
"Josh Lucas","STL",7.1,102.40757007754586,145.48818024658857,70.3889268535654,199.25981943059196,100.76303643556295,143.1518217428239,102.93510854952459,111.00294006297622,92.89858308588477,134.6060480646961,87.9429731647539,161.55219284219163,104.22493893914255,73.4773893621567,133.24625619533109,72.34602766905627,"Josh Lucas",11686,572998
"Ryan Sherriff","STL",14.1,112.27412259581415,74.4358412893037,150.83341468621157,101.94692290007279,115.15775592635764,76.34763749936303,93.84473532696919,87.76979974210784,96.81010237371149,117.68189576752428,74.990160505434,92.88453582643021,77.62295905771634,48.984926241437805,144.35011087827533,72.34602766905627,"Ryan Sherriff",12249,595411
"Luis Sardinas","SDP",1,0,0,,0,0,0,99.25885467275587,74.00195683408558,83.60872477729627,137.59729365674556,0,73.7714595369992,114.12278449453221,0,166.55782024416385,72.34602766905627,"Luis Sardinas",13153,596143
"Pierce Johnson","CHC",1,214.56823276595617,266.72831888971734,80.44448783264616,0,131.60886358681518,163.60208101018625,132.34513956367448,222.00587050225673,167.21744955459255,45.86576450638275,0,50.045286459496985,91.08418615925515,122.4623156035945,111.03854682944257,72.34602766905627,"Pierce Johnson",13435,572955
"Kyle Lloyd","SDP",4,53.64205819148904,133.36415944485867,40.22224391632308,182.6548265601688,46.063102370543064,114.52145739425912,132.34513956367448,148.00391366817115,111.4782997030617,83.39229917756717,213.75742608804126,160.9102154418253,125.64208366217076,214.3090523062904,69.3990917684016,72.34602766905627,"Kyle Lloyd",15378,643414
"Steve Cishek","- - -",44.2,99.54385477353988,87.809378408241,113.36357749242836,46.19415334732135,109.20523148399303,96.33184660336994,65.82526142711245,67.21286484656869,68.89790350834207,117.21139832688488,47.85843159232812,77.7505453090087,83.2116013497456,86.75119847606935,129.70548132467172,72.11016851564742,"Steve Cishek",6483,518553
"Kyle Gibson","MIN",158,83.05050976479436,106.38746286693785,78.0641870919353,104.47282371871984,80.92094954106503,103.65950036274197,115.37793031642198,114.95665440087286,110.96005495561425,99.63101393138997,114.78286021955326,109.8227304648015,99.10926147179151,114.26273414456112,117.3598837044085,71.50685633126153,"Kyle Gibson",10123,502043
"Blake Wood","- - -",74.1,121.57979155806645,119.13547567681537,101.37540715941356,76.90272219850584,116.73241897911943,114.45870860795493,111.94608383879661,116.81821708434835,123.71908626650259,88.92730990895718,123.67482014579033,83.17228300229772,81.61843750275219,112.97106659461068,116.65584448982888,71.14071443269418,"Blake Wood",1345,502028
