Name,Team,IP,wFA,wFT,wFC,wFS,wFO,wSI,wSL,wCU,wKC,wEP,wCH,wSC,wKN,NameASCII,PlayerId,MLBAMID
"Brad Lincoln","PHI",2.1,-0.4001992344856262,,,,,-0.7031981348991394,,-1.0715888738632202,,,-0.5039522051811218,,,"Brad Lincoln",4241,453184
"David Huff","- - -",59,6.9608118534088135,,1.7762055061757565,,,0.03780873864889145,-0.8849319666624069,0.19953075051307678,,,-6.352598667144775,,,"David Huff",4257,453307
"Mark Melancon","PIT",71,4.784884452819824,,4.959231853485107,-0.10429663956165314,,,,,7.500477313995361,,,,,"Mark Melancon",4264,453343
"Manny Parra","CIN",36.2,-5.102397441864014,,,0.16279423236846924,,-0.41291967034339905,2.3675570487976074,,,,,,,"Manny Parra",4279,448159
"Matt Albers","HOU",10,0.09220758080482483,,,,,-1.7693006992340088,2.512671709060669,,,,0.027770183980464935,,,"Matt Albers",4300,458006
"Justin Wilson","PIT",60,6.970767974853516,,1.686629056930542,,,-0.8992948532104492,,-2.544029951095581,,,0.5572668313980103,,,"Justin Wilson",4301,458677
"Aaron Poreda","TEX",21.1,-6.156232833862305,,,,,-0.48990416526794434,1.4681580066680908,,,,-0.2965567708015442,,,"Aaron Poreda",4313,519145
"Tyler Chatwood","COL",24,4.039882183074951,,,,,-3.352703332901001,-1.2144917249679565,0.5672850012779236,,,-1.1539740562438965,,,"Tyler Chatwood",4338,543022
"Kyle Drabek","TOR",3,0.08361853659152985,,0.20595359802246094,,,-0.9376787543296814,0.5820636749267578,0.43919456005096436,,,,,,"Kyle Drabek",4359,475138
"Craig Breslow","BOS",54.1,-0.4386402368545532,,,,,-3.1053504943847656,-4.702646732330322,-1.3264684677124023,,,-2.017089366912842,,,"Craig Breslow",4363,444520
"Joe Saunders","- - -",43,-10.164364755153656,,,,,1.7926654815673828,-2.300118774175644,-3.0333288460969925,,,-5.767279863357544,,,"Joe Saunders",4366,434578
"Jeremy Hellickson","TBR",63.2,-6.967497825622559,,0.06418347358703613,,,-1.23036527633667,,2.1316287517547607,,,0.6617975234985352,,,"Jeremy Hellickson",4371,476451
"Brad Mills","- - -",20.2,-4.758082687854767,,-1.4060360491275787,,,,,-1.9001655504107475,,,-0.7327981293201447,,,"Brad Mills",4420,502166
"Jonathon Niese","NYM",187.2,6.641258716583252,,-1.6156458854675293,,,-4.927861213684082,0.18799713253974915,-1.5518264770507812,,,0.6202968955039978,,,"Jonathon Niese",4424,477003
"Josh Wall","LAA",1,-1.2803467512130737,,,,,-0.08792121708393097,-1.5674309730529785,,,,,,,"Josh Wall",4436,476205
"Jordan Zimmermann","WSN",199.2,17.857805252075195,,,,,-1.3857576847076416,12.290121078491211,-0.2559089660644531,,,-5.94333028793335,,,"Jordan Zimmermann",4505,519455
"Jason Hammel","- - -",176.1,3.0835062861442566,,,,,-4.216218084096909,11.101113110780716,-1.4118660539388657,,,-0.7614609599113464,,,"Jason Hammel",4538,434628
"Pedro Hernandez","COL",5.2,0.46233922243118286,,0.7636253237724304,,,-0.025610946118831635,-0.2864213287830353,-0.024860508739948273,,,-0.052899014204740524,,,"Pedro Hernandez",4578,517060
"Matt Lindstrom","CHW",34,-0.09313233196735382,,,,,-4.236920356750488,-1.3222100734710693,-2.6529958248138428,,,0.8634041547775269,,,"Matt Lindstrom",4604,434637
"Bobby Korecky","TOR",3.1,0.4336433708667755,,,,,-0.047189708799123764,-0.5840428471565247,0.446865975856781,,,,,,"Bobby Korecky",4608,445090
"Joe Thatcher","- - -",30.1,0.2311842441558838,,0.5092252194881439,,,,-4.004431486129761,,,,,,,"Joe Thatcher",4620,491159
"Brandon McCarthy","- - -",200,7.189926385879517,,-7.639796495437622,-1.110204815864563,,-9.885001331567764,,2.883253753185272,,,,,,"Brandon McCarthy",4662,435221
"Sam LeCure","CIN",56.2,1.147314190864563,,,,,-3.6994199752807617,-0.838241696357727,,0.5379160046577454,,-2.8668110370635986,,,"Sam LeCure",4664,459967
"Charlie Morton","PIT",157.1,2.5727381706237793,,,-4.734940052032471,,2.902817487716675,,4.651567459106445,,,,,,"Charlie Morton",4676,450203
"Pat Neshek","STL",67.1,,,,,,7.445051193237305,7.311230182647705,,,,4.718202590942383,,,"Pat Neshek",4682,450212
"Jeff Francis","- - -",20,-1.0422642230987549,,,,,2.30935800075531,-0.33167070150375366,-0.2355404831469059,,,0.10333049297332764,,,"Jeff Francis",4684,433585
"Matt Cain","SFG",90.1,0.4484322965145111,,,,,2.8306620121002197,0.6211608648300171,2.50225567817688,,,-6.609192371368408,,,"Matt Cain",4732,430912
"Sergio Santos","TOR",21,-13.070405960083008,,-0.7268750071525574,,,,4.1104631423950195,,,,-0.7062658667564392,,,"Sergio Santos",4734,435045
"Donnie Veal","CHW",6,0.6042723059654236,,,,,-0.30578333139419556,,-1.3664584159851074,,,-0.5604193806648254,,,"Donnie Veal",4741,453264
"Jonathan Broxton","- - -",58.2,7.4382292330265045,,,,,1.9636859893798828,2.8599472045898438,-0.27520711719989777,,,0.03541462868452072,,,"Jonathan Broxton",4759,455009
"Félix Hernández","SEA",236,1.3665740489959717,,,,,7.9106926918029785,0.5353849530220032,13.11896800994873,,,23.88785743713379,,,"Felix Hernandez",4772,433587
"Matt Shoemaker","LAA",136,0.06207537651062012,,,,,-0.5984592437744141,0.923175573348999,,-1.3584113121032715,,11.520558595657349,,,"Matt Shoemaker",4776,533167
"Vinnie Pestano","- - -",18.2,1.6487786173820496,,,,,-0.05732789635658264,-2.8453002870082855,,,,,,,"Vinnie Pestano",4782,502260
"Rich Hill","- - -",5.1,-1.4602662324905396,,,,,0.4204798638820648,0.5099176317453384,0.05557379126548767,,,,,,"Rich Hill",4806,448179
"Brandon Maurer","SEA",69.2,3.38086998462677,,,,,-1.845254361629486,-0.972601130604744,-1.440593957901001,,,3.4300821721553802,,,"Brandon Maurer",4878,543506
"Scott Kazmir","OAK",190.1,1.40323805809021,,2.7284138202667236,,,4.222002983093262,2.901777505874634,-0.42938151955604553,,,7.580239295959473,,,"Scott Kazmir",4897,431148
"Jon Lester","- - -",219.2,5.522221863269806,,4.69536167383194,,,3.270149827003479,,7.263321876525879,,,-0.03672236204147339,,,"Jon Lester",4930,452657
"Justin De Fratus","PHI",52.2,-1.119600534439087,,,,,-1.6834348440170288,7.015985012054443,,,,0.6152258515357971,,,"Justin De Fratus",4955,518603
"Fernando Salas","LAA",58.2,7.196524143218994,,,,,-0.004160124808549881,,,-1.7882494926452637,,1.3933484554290771,,,"Fernando Salas",4971,477569
"Cole Hamels","PHI",204.2,-4.812264919281006,,3.5523412227630615,,,3.366488456726074,,-0.7179797291755676,,,18.937816619873047,,,"Cole Hamels",4972,430935
"Fernando Abad","OAK",57.1,10.46165943145752,,-0.12572947144508362,,,3.5000052452087402,,,0.07769882678985596,,1.885580062866211,,,"Fernando Abad",4994,472551
"Jake Diekman","PHI",71,,,,,,-0.21850904822349548,1.2204656600952148,,,,0.2223726511001587,,,"Jake Diekman",5003,518617
