Name,Team,IP,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,Pace,NameASCII,PlayerId,MLBAMID
"Mat Latos","CIN",102.1,0.30547945,0.64035088,0.48036649,0.62780269,0.91976517,0.83106267,0.52225131,23.59174312,"Mat Latos",3815,502009
"Troy Patton","- - -",14,0.26548673,0.63636364,0.45726496,0.56666667,0.8961039,0.80373832,0.51709402,23.58823529,"Troy Patton",8368,461856
"Rex Brothers","COL",56.1,0.23580034,0.64216634,0.42714026,0.45255474,0.86445783,0.74413646,0.4708561,23.5880829,"Rex Brothers",9794,571521
"Iván Nova","NYY",20.2,0.27950311,0.66666667,0.47546012,0.71111111,0.95454545,0.88387097,0.50613497,23.56306306,"Ivan Nova",1994,467100
"Ryan Rowland-Smith","ARI",7.1,0.23728814,0.60526316,0.44444444,0.57142857,0.86956522,0.8,0.56296296,23.54716981,"Ryan Rowland-Smith",3245,434884
"Juan Jaime","ATL",12.1,0.26086957,0.64028777,0.45126354,0.72222222,0.76404494,0.752,0.50180505,23.54634146,"Juan Jaime",6127,462089
"Chris Hatcher","MIA",56,0.28205128,0.62985685,0.46732026,0.63636364,0.83766234,0.78088578,0.53267974,23.53810264,"Chris Hatcher",3299,501822
"Brandon League","LAD",63,0.27734375,0.67375887,0.45668449,0.66197183,0.89473684,0.81733021,0.45240642,23.52864157,"Brandon League",3731,434181
"Bryan Shaw","CLE",76.1,0.28727273,0.65294118,0.48943089,0.58227848,0.84009009,0.77242525,0.55284553,23.51747463,"Bryan Shaw",8110,543766
"Will Harris","ARI",29,0.29777778,0.58215962,0.43607306,0.55223881,0.85483871,0.7486911,0.48630137,23.51393189,"Will Harris",3192,501789
"Steve Geltz","TBR",8.1,0.33333333,0.6125,0.47468354,0.5,0.75510204,0.66666667,0.50632911,23.49579832,"Steve Geltz",8402,544993
"Trevor Bauer","CLE",153,0.29051988,0.63328076,0.45923913,0.63684211,0.88044832,0.8021978,0.49223602,23.49219171,"Trevor Bauer",12703,545333
"Craig Stammen","WSN",72.2,0.35665529,0.63099631,0.48847518,0.58373206,0.88596491,0.77132486,0.48049645,23.48927614,"Craig Stammen",7274,489334
"Francisley Bueno","KCR",32.1,0.28636364,0.6614786,0.4884696,0.6031746,0.89411765,0.81545064,0.53878407,23.48787879,"Francisley Bueno",5980,499107
"Shawn Tolleson","TEX",71.2,0.22840691,0.61942675,0.44212359,0.59663866,0.83804627,0.78149606,0.54656223,23.48433735,"Shawn Tolleson",10481,474521
"Dominic Leone","SEA",66.1,0.27819549,0.6641791,0.47191011,0.47972973,0.82865169,0.72619048,0.50187266,23.47930574,"Dominic Leone",13763,608678
"Bud Norris","BAL",165.1,0.2448355,0.6550035,0.45906433,0.625,0.90491453,0.83359873,0.52229532,23.43904856,"Bud Norris",9492,502032
"Daisuke Matsuzaka","NYM",83.1,0.21500722,0.61088435,0.41876751,0.67114094,0.83296214,0.79264214,0.51470588,23.41439689,"Daisuke Matsuzaka",7775,493137
