Name,Team,IP,Loc+ FA,Loc+ SI,Loc+ FC,Loc+ FS,Loc+ SL,Loc+ CU,Loc+ CH,Loc+ KC,Loc+ FO,Stuff+,Location+,Pitching+,NameASCII,PlayerId,MLBAMID
"Huascar Brazobán","NYM",63,95.7943307086614,107.80619946091642,87.67937500000001,,,,89.90581818181818,,,103.75474039862738,96.80157998016635,102.52562754476976,"Huascar Brazoban",6107,623211
"Pierce Johnson","ATL",59,101.44460829493087,,90.1988679245283,,,106.5767862266858,,,,99.76987603305784,104.5436776859504,102.4541115702479,"Pierce Johnson",13435,572955
"Nick Mears","MIL",56.2,101.02251101321585,,,,107.84634831460677,101.25942857142859,,,,100.20216409036858,103.8108442330559,102.44977407847792,"Nick Mears",25376,683232
"Roddery Muñoz","STL",11,103.88051282051282,102.85224489795918,87.70153846153846,,94.80260869565218,,88.35000000000001,,,104.0165789473684,96.06973684210524,102.34947368421051,"Roddery Munoz",25311,682610
"Gunnar Hoglund","ATH",32.1,107.1641836734694,125.30989010989009,,,96.225223880597,,102.61650793650794,,,93.27474452554745,106.1148905109489,102.31072992700732,"Gunnar Hoglund",31318,680684
"Tyler Mahle","TEX",86.2,103.23324561403508,,118.61761363636361,122.61827676240212,105.61676056338028,,,,,91.07164739884391,110.79218208092485,102.29505780346821,"Tyler Mahle",16358,641816
"Jared Koenig","MIL",66,80.94545454545454,103.98471186440679,99.62291891891891,,,86.51506172839505,95.63326315789473,,,105.07782483156879,99.53343599615012,102.22750721847939,"Jared Koenig",27517,657649
"Kevin Gausman","TOR",193,103.72767813267812,81.83999999999999,,104.55238346525945,90.92494296577946,,,,,99.78407272727274,102.90812561983472,102.17886280991739,"Kevin Gausman",14107,592332
"Collin Snider","SEA",26.1,113.47319999999999,102.42190476190474,109.55547826086958,,109.95985294117646,104.52799999999996,,,,101.37855072463765,107.56186335403727,102.15507246376811,"Collin Snider",23307,676092
"Chad Green","TOR",43.2,105.93579831932772,92.92375000000001,,,97.13560830860533,,,,,100.38406779661014,101.37375706214691,102.14440677966101,"Chad Green",15552,643338
"Tomoyuki Sugano","BAL",157,105.68167689161555,105.65220588235296,96.6242996742671,101.2132558139535,111.98590551181101,115.18506024096385,,,,92.3441764246683,105.69891491022642,102.12505854800948,"Tomoyuki Sugano",35321,608372
"Andrés Muñoz","SEA",62.1,96.02183288409704,79.5898333333333,,,86.00574999999996,,45.949090909090906,,,120.08420123565752,87.4458252427184,102.1100441306267,"Andres Munoz",20373,662253
"AJ Blubaugh","HOU",32,96.80514285714287,,34.65333333333333,,93.64375258952353,95.59176470588235,104.29142857142858,,,105.32924518955,97.01669552067578,102.0839834176357,"AJ Blubaugh",31764,805123
"Danny Coulombe","- - -",43,96.15066666666667,87.01787234042554,101.11089655172412,,88.68308624834219,,,79.744,,106.96127056115974,98.74113470337143,102.02660759068915,"Danny Coulombe",13293,543056
"Austin Cox","ATL",21.1,117.2886842105263,41.25,91.92266666666666,89.13,93.69555727725512,109.60293333333335,,,,98.02973698432712,103.49418528193122,101.92508061610518,"Austin Cox",24604,680735
"Kody Funderburk","MIN",41,,89.17535864978902,107.49348066298344,,88.63940170940172,,90.37448275862069,,,105.87388362652233,93.63339648173212,101.89851150202975,"Kody Funderburk",24993,681892
"Landen Roupp","SFG",106.2,161.03411764705885,99.3125644504749,105.05950000000001,,,113.48496951219512,103.1920504731861,,,97.11380021715532,105.96649294245385,101.86478827361562,"Landen Roupp",30076,694738
"Brandon Walter","HOU",53.2,109.54751592356688,118.05588235294117,117.4322869955157,,97.51224043715845,,97.55691275167786,,,96.717881773399,107.84618226600985,101.81583743842367,"Brandon Walter",26056,687888
"Julian Merryweather","CHC",18.2,95.32236686390532,,,,102.55162011173184,,35.26,,,103.39532763532765,98.24672364672367,101.68205128205128,"Julian Merryweather",16703,657240
"Will Klein","LAD",15.1,96.0864,,85.542,,92.75170731707318,106.97492537313434,,,,102.27795180722893,96.30451807228917,101.63439759036147,"Will Klein",27787,694361
"Justin Wilson","BOS",48.1,93.64454308093995,,100.4345,90.29268292682927,101.2944117647059,,,,,105.209068627451,96.84664215686277,101.62892156862749,"Justin Wilson",4301,458677
"Anthony Veneziano","- - -",25,109.3591891891892,106.89163636363637,,,99.4557366823653,,79.48000000000002,,,100.4093894176028,101.78776903353936,101.61650363204863,"Anthony Veneziano",27453,685107
"Mitch Spence","ATH",84.2,,86.37877595392109,101.85759343516412,,98.71095159876702,107.44070181197479,44.4025974025974,,,100.89150954980593,100.20581474802333,101.60201333601523,"Mitch Spence",27707,687765
"Steven Cruz","KCR",45.2,85.1608125,,73.0766265060241,,91.02871794871794,,,,,118.58256568778981,83.13044822256572,101.59826893353939,"Steven Cruz",23165,674444
"Michael King","SDP",73.1,103.33939393939394,115.26038888888888,,,89.38598006644519,,95.28061302681992,,,98.7880459770115,101.68303776683086,101.56986863711003,"Michael King",19853,650633
"Ron Marinaccio","SDP",10.2,93.02177215189873,,106.403125,,107.40444444444444,,125.98857142857143,,,103.97073170731707,104.24695121951216,101.55426829268293,"Ron Marinaccio",23488,676760
"Wandy Peralta","SDP",71.2,102.51222159412099,97.52262096774193,,,113.2650529100529,,102.05511450381678,,,99.04128207889391,101.9366633784384,101.54322368467595,"Wandy Peralta",14295,593974
"Daysbel Hernández","ATL",37,89.38779552715656,,,,93.87577114427862,,,,,107.3960445682451,92.48091922005571,101.5167966573816,"Daysbel Hernandez",20271,678226
"Jayden Murray","HOU",11.2,95.21546666666667,133.59999999999997,72.002,,89.0630303030303,94.596,87.74,,,104.16931818181818,102.7209090909091,101.47681818181817,"Jayden Murray",26482,681151
"Luke Jackson","- - -",51,85.46641791044777,,100.44666666666667,,117.11224340201862,102.61669421487603,199.52,,,92.95492582054634,103.95701019564117,101.45597408399401,"Luke Jackson",11752,592426
"Shane Bieber","TOR",40.1,111.33443478260867,,88.42074074074074,,112.14900763358779,,83.94240963855421,115.10733333333332,,92.38034108527133,105.7994108527132,101.4410852713178,"Shane Bieber",19427,669456
"Brandon Pfaadt","ARI",176.2,100.57404379562044,110.25390029325514,112.54620689655174,,98.4459409594096,96.45494809688583,107.42976034858387,,,97.20974587912087,104.11674450549445,101.37531593406588,"Brandon Pfaadt",27782,694297
"Jakob Junis","CLE",66.2,105.51887640449436,109.94417266187047,,,101.35120350109412,,112.60436893203887,,,93.60401544401549,106.55930501930501,101.28500000000001,"Jakob Junis",13619,596001
"Jorge Alcala","- - -",55,96.33299180327869,96.81248226950356,,,98.59414050282689,87.55006335128287,83.632,,,107.18620784628646,94.48912697971438,101.28457106362593,"Jorge Alcala",19459,660896
"Sonny Gray","STL",180.2,103.75293729372937,104.52731501057082,104.6954069767442,,104.02010563380284,99.71495967741934,91.34541484716156,,,95.83399483585394,102.23906307635556,101.24634452231656,"Sonny Gray",12768,543243
"Robert Garcia","TEX",64,99.08905747126433,,,,101.79792307692311,,101.56652014652016,,,102.67140495867761,100.59762396694214,101.236673553719,"Robert Garcia",23363,676395
"Cole Sulser","TBR",22.2,112.26248366013071,,88.71185185185186,,71.22,,105.31774834437087,,,96.72804123711337,104.31113402061855,101.22845360824743,"Cole Sulser",15256,642121
"Zach Maxwell","CIN",10,80.40147368421052,,105.09948717948718,,85.68709677419355,,,,,111.06630303030302,87.23224242424243,101.22448484848485,"Zach Maxwell",31610,687209
"Shota Imanaga","CHC",144.2,106.63348441926345,134.66785714285714,,108.31376281112739,107.83881401617256,104.20400000000001,,,,94.30027409776146,107.75296482412057,101.1772864321608,"Shota Imanaga",33829,684007
