Name,Team,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,CStr%,CSW%,NameASCII,PlayerId,MLBAMID
"Chad Beck","TOR",0.38461538,0.75,0.56,0.8,0.88888889,0.85714286,0.48,0.75,0.08,0.24,0.32,"Chad Beck",9258,444447
"Raul Valdes","- - -",0.27659574,0.58947368,0.40254237,0.64102564,0.76785714,0.71578947,0.40254237,0.58181818,0.11065574,0.20491803,0.31557377,"Raul Valdes",1953,447744
"Michael Schwimer","PHI",0.2137931,0.61111111,0.38339921,0.58064516,0.77272727,0.71134021,0.42687747,0.5,0.10894942,0.20622568,0.3151751,"Michael Schwimer",8103,543754
"Drew Storen","WSN",0.30141844,0.58461538,0.43726937,0.62941176,0.88486842,0.79324895,0.4797048,0.66006601,0.08917197,0.22565969,0.31483167,"Drew Storen",6983,519322
"Matt Reynolds","COL",0.33111111,0.59891599,0.45177045,0.51677852,0.84615385,0.71351351,0.45054945,0.61137441,0.12619048,0.18809524,0.31428571,"Matt Reynolds",8887,519186
"Francisco Rodríguez","- - -",0.32692308,0.61048689,0.45768566,0.56862745,0.82515337,0.72641509,0.4611399,0.57654723,0.12372014,0.19027304,0.31399317,"Francisco Rodriguez",1642,408061
"Matt Moore","TBR",0.3125,0.68055556,0.4702381,0.63333333,0.73469388,0.69620253,0.42857143,0.6,0.14201183,0.17159763,0.31360947,"Matt Moore",1890,519043
"Joel Carreno","TOR",0.256,0.58333333,0.39819005,0.625,0.83928571,0.76136364,0.43438914,0.52542373,0.09502262,0.21719457,0.31221719,"Joel Carreno",2746,468528
"Eduardo Sanchez","STL",0.23236515,0.61842105,0.42004264,0.46428571,0.78014184,0.69035533,0.48614072,0.56779661,0.12978723,0.18085106,0.3106383,"Eduardo Sanchez",2966,500674
"Zach Phillips","BAL",0.21538462,0.62686567,0.42424242,0.5,0.9047619,0.80357143,0.50757576,0.63636364,0.08333333,0.22727273,0.31060606,"Zach Phillips",99,452061
"Bryan Augenstein","STL",0.20454545,0.57894737,0.41584158,0.77777778,0.81818182,0.80952381,0.56435644,0.67741935,0.07079646,0.23893805,0.30973451,"Bryan Augenstein",936,446248
"Tyler Clippard","WSN",0.35286624,0.71530249,0.50408315,0.566787,0.75124378,0.67599411,0.41722346,0.55015198,0.16212233,0.14738394,0.30950626,"Tyler Clippard",5640,461325
