Name,Team,IP,FA%,FT%,FC%,FS%,FO%,SI%,SL%,CU%,KC%,EP%,CH%,SC%,KN%,UN%,NameASCII,PlayerId,MLBAMID
"Chien-Ming Wang","WSN",62.1,0.02011173,,,0.06815642,,0.69944134,0.14860335,0.06368715,,,,,,,"Chien-Ming Wang",2074,425426
"Willie Eyre","BAL",18.1,0.46186441,,0.18644068,,,0.01271186,0.26271186,0.0720339,,,0.00423729,,,,"Willie Eyre",2078,425466
"Heath Bell","SDP",62.2,0.58049678,,,,,0.12327507,,0.29162833,,,0.00459982,,,,"Heath Bell",2080,425514
"Chris Narveson","MIL",161.2,0.14698063,,0.06076719,,,0.31826814,,0.13064945,,,0.3433346,,,,"Chris Narveson",2141,429780
"Yhency Brazoban","ARI",6,0.61344538,,,,,0.11764706,0.26890756,,,,,,,,"Yhency Brazoban",2150,430674
"Alfredo Simon","BAL",115.2,0.24573561,,0.07462687,0.17537313,,0.27185501,,0.23187633,,,,0.00053305,,,"Alfredo Simon",2155,430580
"Taylor Buchholz","NYM",26,0.30317848,,,,,0.22493888,,0.40831296,,,0.06356968,,,,"Taylor Buchholz",2168,430587
"Chad Qualls","SDP",74.1,,,,,,0.59214219,0.40318054,,,,0.00467727,,,,"Chad Qualls",2170,430589
"Steve Edlefsen","SFG",11.1,,,,,,0.73593074,0.24242424,,,,0.02164502,,,,"Steve Edlefsen",2185,453580
"Joel Hanrahan","PIT",68.2,0.81818182,,,,,0.01075269,0.17106549,,,,,,,,"Joel Hanrahan",2186,430629
"Blaine Boyer","NYM",6.2,0.1440678,,,,,0.68644068,0.08474576,0.00847458,,,0.07627119,,,,"Blaine Boyer",2237,430641
"Brandon Gomes","TBR",37,0.39279588,,,0.15951973,,0.2109777,0.21955403,0.01715266,,,,,,,"Brandon Gomes",2267,460156
"Joel Peralta","TBR",67.2,0.55139289,,0.02305476,0.24303554,,,,0.18251681,,,,,,,"Joel Peralta",2332,407908
"Randy Williams","BOS",8.1,0.39007092,,,,,0.35460993,0.18439716,0.04255319,,,0.02836879,,,,"Randy Williams",2362,430942
"Andrew Brackman","NYY",2.1,0.30909091,,0.43636364,,,,0.05454545,0.2,,,,,,,"Andrew Brackman",2365,457581
"Brian Gordon","NYY",10.1,0.35064935,,0.34415584,,,,0.0974026,0.15584416,,,0.05194805,,,,"Brian Gordon",2374,430950
"Jose Ceda","FLA",20.1,0.56695157,,,,,,0.33618234,,,,0.0968661,,,,"Jose Ceda",2377,469167
"Anthony Varvaro","ATL",24,0.69230769,,,,,,,0.23607427,,,0.07161804,,,,"Anthony Varvaro",2385,460008
"Barry Enright","ARI",37.2,0.27386541,,,,,0.37245696,0.16901408,0.08763693,,,0.0970266,,,,"Barry Enright",2412,446264
"Corey Kluber","CLE",4.1,0.29213483,,,,,0.15730337,0.29213483,0.16853933,,,0.08988764,,,,"Corey Kluber",2429,446372
"Andrew Carignan","OAK",6.1,0.8046875,,0.0234375,,,,0.1484375,,,,0.0234375,,,,"Andrew Carignan",2431,446398
"Todd Coffey","WSN",59.2,0.09355509,,,,,0.45218295,0.44906445,,,,0.00519751,,,,"Todd Coffey",2467,434298
"Mark DiFelice","MIL",3,0.13461538,,,,,,0.80769231,0.05769231,,,,,,,"Mark DiFelice",2468,442707
