Name,Team,IP,FA-Z,FT-Z,FC-Z,FS-Z,FO-Z,SI-Z,SL-Z,CU-Z,KC-Z,EP-Z,CH-Z,SC-Z,KN-Z,NameASCII,PlayerId,MLBAMID
"Jon Lester","BOS",191.2,8.83640436222119,,4.312210261125973,,,4.46579277224657,,-6.567950568098653,,,4.3547559246969065,,,"Jon Lester",4930,452657
"Justin De Fratus","PHI",4,8.211612824470766,,,,,3.640000343322754,-2.282500076293945,,,,,,,"Justin De Fratus",4955,518603
"Mitch Talbot","CLE",63.2,5.35874487996584,,4.298148261176215,,,5.195436155641234,-4.656666631283968,,,,-1.2245751673879186,,,"Mitch Talbot",4961,452676
"Fernando Salas","STL",75,9.812091483778627,,,,,6.314186273619186,,,-4.1652283644313135,,3.3649810215212264,,,"Fernando Salas",4971,477569
"Cole Hamels","PHI",216,11.045239608899681,,7.442398995027414,,,9.1586669921875,,-3.471550693994836,,,5.923905558854849,,,"Cole Hamels",4972,430935
"Fernando Abad","HOU",19.2,10.479488780886628,,,,,7.357500076293945,,,-3.2203124364217124,,9.315591135332662,,,"Fernando Abad",4994,472551
"Dale Thayer","NYM",10.1,7.004210140830592,,,,,4.385238284156436,-3.7306666056315105,,,,-0.492499977350235,,,"Dale Thayer",5032,445612
"Franklin Morales","- - -",46.1,9.819823412117978,,,,,6.2999999813917205,0.1846938619808275,-4.867163042650155,,,1.9224389936865829,,,"Franklin Morales",5088,462985
"Scott Diamond","MIN",39,9.635275184561353,,,,,10.871736314561632,,-0.22050846767964336,,,9.129634205887957,,,"Scott Diamond",5089,539438
"Rick Van Den Hurk","BAL",9,10.1243654281374,,,,,9.885000228881836,1.9427272912227747,-6.707777659098308,,,7.863529429716222,,,"Rick Van Den Hurk",5099,462995
"Rob Delaney","TBR",5,10.212714494977678,,,,,9.938181790438565,3.3399998801095143,,,,4.1258331934611014,,,"Rob Delaney",5100,503438
"Guillermo Moscoso","OAK",128,10.384437607414455,,,6.333035786946614,,10.041891228338207,0.6712820199819711,-2.243254382034828,,,6.648749760219029,,,"Guillermo Moscoso",5106,446861
"Evan Meek","PIT",20.2,5.89052874191217,,4.880930346111919,,,4.385000228881836,,-3.656629240914677,,,5.869999885559082,,,"Evan Meek",5109,457425
"Alfredo Aceves","BOS",114,7.833668101917613,,5.4488372295797864,4.183189655172414,,5.858664010317271,-3.932285622188023,-7.550955716301413,,,5.43395815955268,,,"Alfredo Aceves",5164,469686
"Ernesto Frieri","SDP",63,9.02926537298387,,,,,8.792,-2.9532946209574855,,,,8.337333170572917,,,"Ernesto Frieri",5178,457117
"Brayan Villarreal","DET",16,7.667234596631205,,,,,4.101666768391927,-0.12282051184238532,,,,-0.9699999094009399,,,"Brayan Villarreal",5180,500903
"Mike Pelfrey","NYM",193.2,7.668021219016532,,,1.5578461599273559,,5.327010869979858,3.3612523811818074,-2.438010490377536,,,,,,"Mike Pelfrey",5203,460059
"Chris Perez","CLE",59.2,6.432561670590753,,,,,2.3967999267578124,-2.5379425486879486,,,,-5.139999866485596,,,"Chris Perez",5213,453198
"Wade LeBlanc","SDP",79.2,8.21197087509827,,4.423975209720799,,,8.088355577256944,,-4.1339603839534345,,,3.6292988119090177,,,"Wade LeBlanc",5221,453281
"Vin Mazzaro","KCR",28.1,11.033009216848727,,,,,7.062786665119108,1.5829166412353515,,-2.8627499461174013,,4.920555538601345,,,"Vin Mazzaro",5231,476570
"Chris Tillman","BAL",62,11.502239203891872,,11.178888391565394,,,8.223333358764648,3.5919470322870577,-10.002999877929687,-9.505561706216577,,9.22340425531915,,,"Chris Tillman",5279,501957
"Esmerling Vasquez","ARI",30.1,7.980740582501447,,,,,7.076677824321546,,-3.319411782657399,,,2.0153731161089086,,,"Esmerling Vasquez",5280,458220
"Samuel Deduno","SDP",3,2.5961538461538463,,2.827777862548828,,,,,-10.657499313354492,,,0.37545455585826526,,,"Samuel Deduno",5285,465679
"Mark Hamburger","TEX",8,7.402286202566964,,,,,6.322999572753906,-2.427647085750804,,,,3.1232141767229353,,,"Mark Hamburger",5329,523648
"Atahualpa Severino","WSN",4.2,9.686066174116291,,,,,6.885000228881836,0.3300000066342561,-2.319999933242798,,,,,,"Atahualpa Severino",5332,463037
"Cristhian Martinez","ATL",77.2,5.861536537728658,,,,,4.06557247110082,2.1326118583109843,-6.060999870300293,,,1.0194913287495457,,,"Cristhian Martinez",5337,450852
"Alex Sanabia","FLA",11,6.611891875395903,,,,,5.702650414891989,1.943000030517578,,,,1.9063829462578956,,,"Alex Sanabia",5350,502253
"Michael Pineda","SEA",171,7.325796933814304,,8.94250030517578,,,1.8057575803814512,-0.9622261397830167,,,,4.0380127735627,,,"Michael Pineda",5372,501381
"Brad Peacock","WSN",12,9.573919921875,,,,,7.800000190734863,,,-8.715768814086914,,7.305306493019571,,,"Brad Peacock",5401,502748
"Amauri Sanit","NYY",7,7.699074074074074,,,,,4.58076907426883,-2.7852379935128346,-4.858000183105469,,,3.656923147348257,,,"Amauri Sanit",5436,490313
