Name,Team,IP,FA-Z,FT-Z,FC-Z,FS-Z,FO-Z,SI-Z,SL-Z,CU-Z,KC-Z,EP-Z,CH-Z,SC-Z,KN-Z,NameASCII,PlayerId,MLBAMID
"Matthew Boyd","DET",78.2,8.846419515126641,,,,,6.642305186097051,-0.9714102761787281,-9.250122699540915,,,3.541576291803728,,,"Matthew Boyd",15440,571510
"Mike Mayers","LAA",75,9.478828510485197,,6.816233046292616,,,,0.6603980125998958,2.211060047149658,,,5.741213083267212,,,"Mike Mayers",15451,594577
"Nick Pivetta","BOS",155,11.718388324879628,,2.4409106024380387,,,10.543441772460938,1.3748364084355573,-9.398455341045674,-10.551322755667876,,6.724789181271115,,,"Nick Pivetta",15454,601713
"José De León","CIN",18.1,9.181668902755877,,,,,,-0.12624314252068014,,,,2.1200813880333533,,,"Jose De Leon",15463,592254
"Marco Gonzales","SEA",143.1,10.08611057229238,,7.6844114740210845,,,,,-7.560741232760126,,,5.8453332467140555,,,"Marco Gonzales",15467,594835
"Lucas Giolito","CHW",178.2,11.25962911626344,,,,,,3.0932165145874024,-5.500095646555831,,,7.616266400444533,,,"Lucas Giolito",15474,608337
"Antonio Senzatela","COL",156.2,6.53616035275343,,,,,7.758650127210115,1.7497537876856233,-3.3006683349609376,,,4.892585088742659,,,"Antonio Senzatela",15488,622608
"Stephen Gonsalves","BOS",4.1,11.59371584937686,,10.961248397827148,,,,0.24978000322977703,-9.323454483695652,,,,,,"Stephen Gonsalves",15492,624427
"Kohl Stewart","CHC",13.2,7.794134286733774,,4.111099222873119,,,4.682150268554688,4.740023261622379,-2.479679438802931,,,3.6621729532877603,,,"Kohl Stewart",15502,640464
"Hunter Harvey","BAL",8.2,10.724096818403764,,,5.599143981933594,,,0.8870500217784535,-6.217818123953683,,,,,,"Hunter Harvey",15507,640451
"Kendall Graveman","- - -",56,9.265205688476563,,,,,6.412919093222514,0.38405482799975904,-4.462772144990809,,,3.9332324663798013,,,"Kendall Graveman",15514,608665
"Eric Yardley","MIL",18.2,,,,,,-4.838909646739131,,5.271142108623798,,,-6.461537933349609,,,"Eric Yardley",15538,642233
"Tyler Rogers","SFG",81,-4.706536865234375,,,,,-9.163521409629784,6.033572621473861,,,,,,,"Tyler Rogers",15541,643511
"Chad Green","NYY",83.2,11.378565482289227,,,,,11.591850280761719,0.17720570882161457,-2.9325905686433096,,,,,,"Chad Green",15552,643338
"Nick Wittgren","CLE",62.1,8.857044206585801,,3.991113269329071,,,8.183978398640951,0.8914159647772245,,,,1.286989074057721,,,"Nick Wittgren",15594,621295
"Phillips Valdez","BOS",40,4.060399532318115,,,,,2.9228557948648493,-0.1159925725724962,,,,0.3282818567185175,,,"Phillips Valdez",15605,570488
"Willians Astudillo","MIN",4,9.871512779822716,,,,,,,,,5.806558307848479,,,,"Willians Astudillo",15608,553902
"Yefry Ramírez","LAD",2,9.517645941840279,,,,,,4.709913889567058,-0.645108699798584,,,4.697353680928548,,,"Yefry Ramirez",15655,606162
"Miguel Castro","NYM",70.1,,,,,,4.175880144227226,0.4700554874208238,,,,1.337017589941957,,,"Miguel Castro",15684,612434
"Luis Castillo","CIN",187.2,7.270810416955377,,,,,2.6606796183050636,-0.11188104802911931,,,,0.6772795871085646,,,"Luis Castillo",15689,622491
"Brad Keller","KCR",133.2,8.246948066546762,,,,,5.803431362822025,-1.746730216849404,,,,5.868766471131207,,,"Brad Keller",15734,641745
"Joe Jiménez","DET",45.1,10.520002837873932,,,,,,1.347155119243421,,,,4.747585060322179,,,"Joe Jimenez",15761,641729
"Devin Williams","MIL",54,8.66169845226199,,,,,6.460000038146973,1.5701037815638952,,,,-2.2846036604150237,,,"Devin Williams",15816,642207
"Zack Littell","SFG",61.2,10.13941131485464,,,2.9806195068359376,,,4.2906677432176545,,,,,,,"Zack Littell",15823,641793
"Paul Fry","BAL",47.1,7.349029091282895,,,,,,-2.015239482023278,,,,5.370182800292969,,,"Paul Fry",15832,643316
"Adam Plutko","BAL",56.1,10.962768720543902,,6.017571729100393,,,,2.7343754259128015,-5.690072932713468,,,,,,"Adam Plutko",15846,592644
"Kent Emanuel","HOU",17.2,,,,,,4.552767055241142,-0.16399411594166474,,,,2.6125581529405384,,,"Kent Emanuel",15849,592288
"Wander Suero","WSN",42.2,,,7.962961832682292,,,,,-6.118123531341553,,,3.6254893070509455,,,"Wander Suero",15855,593833
"Sean Manaea","OAK",179.1,7.633540941321331,,,,,7.084928900947398,1.6033621839297716,,,,3.993314121309565,,,"Sean Manaea",15873,640455
"Luis Severino","NYY",6,10.238213117732558,,6.407568454742432,,,,-0.8540422651502821,,,,5.538692767803486,,,"Luis Severino",15890,622663
"Lewis Thorpe","MIN",15.1,9.886414678473221,,,,,,3.9456859735342174,-8.51850414276123,,,7.219641791449653,,,"Lewis Thorpe",15906,626929
"Ryne Stanek","HOU",68.1,9.752726236979166,,,3.521906094288263,,,-0.2551146083407932,,,,,,,"Ryne Stanek",15947,592773
"Keury Mella","ARI",1.2,6.997073364257813,,,,,4.005164768384851,2.4799291822645397,,,,2.9039223988850913,,,"Keury Mella",15964,622492
"Akeem Bostick","NYM",1,10.364674377441407,,,,,,2.0406367778778076,-5.262679100036621,,,4.953697204589844,,,"Akeem Bostick",15979,641384
"Stevie Wilkerson","BAL",1,,,,,,,,,,5.336057662963867,,,,"Stevie Wilkerson",16041,592859
"Stefan Crichton","ARI",23.1,5.968743006388347,,,,,4.67820156321806,,-3.9991040910993303,,,4.579967498779297,,,"Stefan Crichton",16058,592233
"Zach Thompson","MIA",75,8.92785597290417,,3.437102178969645,,,4.5197833314233895,,-5.324312380044767,,,3.410262057655736,,,"Zach Thompson",16094,605507
"Daniel Ponce de Leon","STL",33.1,10.852698185339786,,6.699669705904447,,,11.21138858795166,4.8170166015625,-6.952095738163701,,,5.781186199188232,,,"Daniel Ponce de Leon",16110,594965
"Jordan Romano","TOR",63,10.739025840878115,,,,,10.930185699462891,-0.16135782931285042,,,,,,,"Jordan Romano",16122,605447
"Chris Ellis","- - -",29.1,10.332366154111664,,,,,,-0.24434815548561714,-4.284421952044378,,,4.423288066212724,,,"Chris Ellis",16125,595939
"John Curtiss","- - -",44.1,10.260056893484933,,,,,,0.7998139721223678,,,,,,,"John Curtiss",16128,595928
"David Hess","- - -",20,9.586037935785285,,,,,,-0.4295404774802072,-0.5673632025718689,,,5.560754739321196,,,"David Hess",16130,605276
"Carlos Rodón","CHW",132.2,10.44832019249232,,,,,,-0.1488733354783216,-4.527741281609786,,,7.1003564453125,,,"Carlos Rodon",16137,607074
