Name,Team,IP,Pit+ FA,Pit+ SI,Pit+ FC,Pit+ FS,Pit+ SL,Pit+ CU,Pit+ CH,Pit+ KC,Pit+ FO,Stuff+,Location+,Pitching+,NameASCII,PlayerId,MLBAMID
"Joe Kelly","LAD",44,86.69454545454545,92.17429787234042,,,,,90.35913043478261,135.9953745928339,,113.92689170182838,97.09949367088606,110.36382559774965,"Joe Kelly",9761,523260
"Jeffrey Springs","TBR",44.2,110.46704761904763,,,,112.96773333333329,,106.88019138755982,,,106.3256836461126,104.42638069705096,110.33168900804291,"Jeffrey Springs",17677,605488
"Pedro Strop","CHC",2,108.94888888888889,103.08000000000001,145.592,,74.07538461538462,,,,,78.46488888888888,126.00355555555558,110.04533333333335,"Pedro Strop",4070,467008
"Lucas Giolito","CHW",178.2,93.89961597542244,,,,113.16015649452268,92.99566265060243,131.78734607218684,,,107.45510451786913,102.47863115306812,110.04389750505732,"Lucas Giolito",15474,608337
"Collin McHugh","TBR",64,88.02666666666666,,107.44118012422359,,114.76880064087891,137.57714285714286,39.12,,,107.4682836815802,107.60167087263054,109.98834018659414,"Collin McHugh",7531,543521
"Luke Jackson","ATL",63.2,80.41063829787234,,,,130.6625367647059,108.87985185185188,,,,108.17669829222014,100.83288425047441,109.98070208728653,"Luke Jackson",11752,592426
"Hoby Milner","MIL",21.2,108.30067307692305,124.16153846153846,,,113.73999999999998,,98.74774193548389,,,112.0772448979592,107.72428571428573,109.94224489795918,"Hoby Milner",13346,571948
"Logan Webb","SFG",148.1,66.91806451612904,119.74740740740741,102.04333333333334,,108.13333677995884,,114.53045977011493,,,111.7948231201346,99.24270863259633,109.93083794465754,"Logan Webb",17995,657277
"Lance Lynn","CHW",157,122.18900191938577,100.2575150300601,107.92397932816537,,102.49,80.24108108108109,67.51910714285712,,,107.49183967935873,103.52554709418834,109.82174749498999,"Lance Lynn",2520,458681
"Aaron Nola","PHI",180.2,104.20884892086332,100.81323877068556,98.75304347826088,,,,109.32292020373515,123.2663171036205,,108.71579445571332,103.56910750507105,109.78830290736984,"Aaron Nola",16149,605400
"Alex Vesia","LAD",40,108.58211864406779,,,,117.62920353982302,,107.68941176470587,,,114.76771604938273,95.80867283950612,109.70077160493825,"Alex Vesia",25007,681911
"Max Scherzer","- - -",179.1,111.4235795887281,,99.02843636363636,,125.37178607327229,104.9748966772243,94.37842482100238,,,110.99188156182954,100.27150140922424,109.67623311471117,"Max Scherzer",3137,453286
"Diego Castillo","- - -",58.1,55.996216216216204,88.17061371841153,,,122.38407343892662,,,,,107.47670567960091,100.9835220429874,109.66839634545056,"Diego Castillo",17496,650895
"Erasmo Ramírez","DET",26.2,123.82076923076926,105.11250000000001,119.74259887005647,,66.74666666666667,-10.099999999999987,76.454375,,,103.8188746803069,107.55820971867004,109.63616368286445,"Erasmo Ramirez",10314,541640
"Matt Wisler","- - -",48.2,58.15166666666667,,,,114.7638776883494,,,,,103.5072199040866,107.81342886420462,109.5784626525119,"Matt Wisler",12804,605538
"Drew Rasmussen","- - -",76,107.24227684346701,131.26,116.84,,119.93663062732882,87.155,77.52357142857143,,,105.60898906234706,106.15596444651074,109.57663153322896,"Drew Rasmussen",25385,656876
"Rafael Montero","- - -",49.1,100.33411003236247,134.44194690265488,,,103.01901022054865,,99.78586826347305,,,105.48415357586993,105.31255725146067,109.55731932940702,"Rafael Montero",12760,606160
