Name,Team,IP,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,Pace,NameASCII,PlayerId,MLBAMID
"Kyle Kendrick","PHI",26.1,0.28571429,0.64171123,0.45641026,0.84482759,0.90833333,0.88764045,0.47948718,,"Kyle Kendrick",6230,452718
"Billy Sadler","HOU",1.1,0.18181818,0.64285714,0.44,1,0.66666667,0.72727273,0.56,,"Billy Sadler",6235,452724
"Tom Gorzelanny","- - -",47,0.2591623,0.66666667,0.46423927,0.5959596,0.84883721,0.77871148,0.50325098,,"Tom Gorzelanny",6244,452733
"Aaron Laffey","CLE",121.2,0.23281596,0.6026694,0.42484009,0.74285714,0.91993186,0.87327478,0.51918977,,"Aaron Laffey",6248,444836
"Trevor Cahill","OAK",178.2,0.26229508,0.579809,0.41792043,0.745,0.86,0.8232,0.49013708,,"Trevor Cahill",6249,502239
"Greg Burke","SDP",45.2,0.24111675,0.61879896,0.42728443,0.72631579,0.85232068,0.81626506,0.49292149,,"Greg Burke",6282,457566
"Scott Feldman","TEX",189.2,0.24873737,0.59603073,0.42116974,0.72081218,0.90010741,0.84679245,0.4965035,,"Scott Feldman",6283,444857
"George Sherrill","- - -",69,0.27142857,0.60954064,0.44138544,0.61842105,0.90144928,0.81488934,0.5026643,,"George Sherrill",6291,430941
"Chris Ray","BAL",43.1,0.2392638,0.63785047,0.46551724,0.53846154,0.86080586,0.78917379,0.56763926,,"Chris Ray",6315,444884
"Esmil Rogers","COL",4,0.15384615,0.46341463,0.3125,0.66666667,0.94736842,0.88,0.5125,,"Esmil Rogers",6317,469134
"John Danks","CHW",200.1,0.260493,0.62128419,0.45114672,0.68286445,0.83732057,0.79526462,0.5284323,,"John Danks",6329,433579
"Henry Alberto Rodriguez","OAK",4,0.29032258,0.5952381,0.46575342,0.55555556,0.84,0.76470588,0.57534247,,"Henry Alberto Rodriguez",6371,469159
"Rafael Rodriguez","LAA",30.2,0.17647059,0.69758065,0.46238938,0.80555556,0.89017341,0.87559809,0.54867257,,"Rafael Rodriguez",6417,444126
"Warner Madrigal","TEX",12.2,0.21014493,0.69117647,0.44890511,0.86206897,0.87234043,0.8699187,0.49635036,,"Warner Madrigal",6419,444127
"Rich Thompson","LAA",19.1,0.24096386,0.61025641,0.44044321,0.4,0.8907563,0.7672956,0.5401662,,"Rich Thompson",6422,460366
"Jeremy Accardo","TOR",24.2,0.3125,0.60576923,0.44866071,0.73333333,0.92063492,0.85074627,0.46428571,,"Jeremy Accardo",6428,435618
"Tim Stauffer","SDP",73,0.22838499,0.59003215,0.41052632,0.65,0.85558583,0.79881657,0.50364372,,"Tim Stauffer",6432,431162
"Kevin Jepsen","LAA",54.2,0.27146172,0.65665236,0.47157191,0.51282051,0.83006536,0.74231678,0.51950948,,"Kevin Jepsen",6475,448178
"Brian Wilson","SFG",72.1,0.20859873,0.60843373,0.41408669,0.61068702,0.83663366,0.78130841,0.51393189,,"Brian Wilson",6485,451216
"Waldis Joaquin","SFG",10.2,0.23913043,0.57142857,0.42156863,0.63636364,0.90625,0.8372093,0.54901961,,"Waldis Joaquin",6580,471183
"Marc Rzepczynski","TOR",61.1,0.23518519,0.52014652,0.37845304,0.56692913,0.91549296,0.80778589,0.50276243,,"Marc Rzepczynski",6612,519240
"Carlos Carrasco","CLE",22.1,0.23958333,0.6453202,0.44810127,0.63043478,0.91603053,0.84180791,0.51392405,,"Carlos Carrasco",6632,471911
"Jhonny Nunez","CHW",5.2,0.31034483,0.66071429,0.48245614,0.66666667,0.86486486,0.8,0.49122807,,"Jhonny Nunez",6640,471919
"Anthony Ortega","LAA",12.2,0.2601626,0.584,0.4233871,0.84375,0.91780822,0.8952381,0.50403226,,"Anthony Ortega",6745,471162
"Shairon Martis","WSN",85.2,0.27738265,0.63579278,0.44776119,0.71282051,0.90123457,0.84,0.47537313,,"Shairon Martis",6781,463017
"Andrew Miller","FLA",80,0.20092025,0.57872928,0.3997093,0.66412214,0.87350835,0.82363636,0.52616279,,"Andrew Miller",6785,453192
"Jeff Manship","MIN",31.2,0.20930233,0.59933775,0.40464345,0.6984127,0.87292818,0.82786885,0.50082919,,"Jeff Manship",6865,453249
"Nick Adenhart","LAA",6,0.22727273,0.5,0.37755102,0.4,0.88888889,0.75675676,0.55102041,,"Nick Adenhart",6879,444440
"Collin Balester","WSN",30.1,0.2851711,0.60240964,0.43945313,0.73333333,0.92,0.85777778,0.48632813,,"Collin Balester",6883,444446
"Johnny Cueto","CIN",171.1,0.27210418,0.64629763,0.45473684,0.73803526,0.87764182,0.83487654,0.48807018,,"Johnny Cueto",6893,456501
"Bobby Mosebach","LAA",2.1,0.11111111,0.5,0.28787879,0.75,0.8,0.78947368,0.45454545,,"Bobby Mosebach",6927,458595
"Joakim Soria","KCR",53,0.32634033,0.60554371,0.47216036,0.60714286,0.77464789,0.71933962,0.52227171,,"Joakim Soria",6941,465657
"Luke Hochevar","KCR",143,0.28405018,0.63030808,0.46353043,0.62776025,0.87846764,0.80446927,0.51834268,,"Luke Hochevar",6943,460024
"Kevin Mulvey","- - -",24.1,0.26484018,0.66666667,0.46296296,0.60344828,0.8943662,0.81,0.49305556,,"Kevin Mulvey",6947,453381
"Ian Kennedy","NYY",1,0.26666667,0.46153846,0.35714286,0.5,0.83333333,0.7,0.46428571,,"Ian Kennedy",6986,453178
"Chris Waters","BAL",11.2,0.15686275,0.63043478,0.3814433,0.75,0.9137931,0.87837838,0.4742268,,"Chris Waters",7015,425561
"Hung-Chih Kuo","LAD",30,0.2742616,0.70909091,0.48358862,0.61538462,0.81410256,0.75565611,0.48140044,,"Hung-Chih Kuo",7016,425539
"Merkin Valdez","SFG",49.1,0.22706422,0.61934156,0.43383948,0.78787879,0.84053156,0.8275,0.52711497,,"Merkin Valdez",7019,429723
"James Shields","TBR",219.2,0.28477258,0.64848144,0.48103187,0.61574074,0.86556808,0.79747634,0.53960546,,"James Shields",7059,448306
"Dustin Moseley","LAA",14.2,0.15384615,0.53947368,0.3828125,0.6875,0.91463415,0.87755102,0.59375,,"Dustin Moseley",7060,400291
"Trevor Bell","LAA",20.1,0.18095238,0.65841584,0.41504854,0.68421053,0.89473684,0.84795322,0.49029126,,"Trevor Bell",7074,457707
"John Lannan","WSN",206.1,0.2425816,0.61219793,0.4507453,0.7675841,0.93045113,0.89216391,0.56318859,,"John Lannan",7080,458709
"Anthony Reyes","CLE",38.1,0.19941349,0.59159159,0.39317507,0.72058824,0.88832487,0.84528302,0.49406528,,"Anthony Reyes",7105,435039
"Daniel Bard","BOS",49.1,0.39671362,0.60194175,0.49761337,0.58579882,0.83064516,0.73141487,0.49164678,,"Daniel Bard",7115,453268
"Sergio Escalona","PHI",13.2,0.25510204,0.57425743,0.41708543,0.64,0.87931034,0.80722892,0.50753769,,"Sergio Escalona",7122,465065
"Daniel Hudson","CHW",18.2,0.225,0.66242038,0.44164038,0.58333333,0.86538462,0.79285714,0.49526814,,"Daniel Hudson",7146,543339
"Josh Rupe","TEX",4.2,0.2244898,0.62295082,0.44545455,0.81818182,0.89473684,0.87755102,0.55454545,,"Josh Rupe",7206,434666
"Nick Masset","CIN",76,0.29858657,0.65970772,0.46411483,0.52071006,0.83227848,0.72371134,0.45837321,,"Nick Masset",7267,434665
"Craig Stammen","WSN",105.2,0.30408654,0.60906516,0.44408322,0.72332016,0.95348837,0.8682284,0.45903771,,"Craig Stammen",7274,489334
"Brad Ziegler","OAK",73.1,0.2495637,0.63289037,0.44595745,0.67832168,0.88188976,0.82633588,0.51234043,,"Brad Ziegler",7293,446899
"Scott Lewis","CLE",4.1,0.24390244,0.64583333,0.46067416,0.9,0.93548387,0.92682927,0.53932584,,"Scott Lewis",7322,460260
"Adam Russell","SDP",12.1,0.22556391,0.60869565,0.42066421,0.66666667,0.83333333,0.78947368,0.50922509,,"Adam Russell",7334,452240
"Garrett Mock","WSN",91.1,0.29865772,0.62447844,0.44389337,0.65543071,0.90423163,0.81145251,0.44575325,,"Garrett Mock",7335,452241
"Steven Jackson","PIT",43,0.31137725,0.62244898,0.45700637,0.68269231,0.87431694,0.80487805,0.46815287,,"Steven Jackson",7341,452259
"Casey Janssen","TOR",40,0.23410405,0.62912088,0.43661972,0.71604938,0.86026201,0.82258065,0.51267606,,"Casey Janssen",7355,445163
"J.A. Happ","PHI",166,0.25080906,0.62900875,0.44976994,0.7,0.87369641,0.82779199,0.52607362,,"J.A. Happ",7410,457918
"Paul Janish","CIN",2,0.3125,0.5625,0.4375,0.9,0.94444444,0.92857143,0.5,,"Paul Janish",7412,457926
"Mark Lowe","SEA",80,0.27210884,0.67259259,0.4861441,0.6375,0.84581498,0.79153094,0.53444181,,"Mark Lowe",7416,450275
"Wade Davis","TBR",36.1,0.25657895,0.64604811,0.44705882,0.70512821,0.85638298,0.81203008,0.48907563,,"Wade Davis",7441,451584
"Gio González","OAK",98.2,0.25591883,0.57704918,0.41897891,0.56387665,0.85037879,0.76423841,0.50776915,,"Gio Gonzalez",7448,461829
"Phil Hughes","NYY",86,0.26119403,0.65601023,0.4738292,0.65714286,0.83235867,0.7877907,0.53856749,,"Phil Hughes",7450,461833
"Steven Register","PHI",2,0.26923077,0.80952381,0.5106383,1,0.76470588,0.83333333,0.44680851,,"Steven Register",7463,461862
