Name,Team,IP,wFA/C,wFT/C,wFC/C,wFS/C,wFO/C,wSI/C,wSL/C,wCU/C,wKC/C,wEP/C,wCH/C,wSC/C,wKN/C,NameASCII,PlayerId,MLBAMID
"Rich Thompson","LAA",19.1,-3.1124478952896193,,-2.284495714234143,,,,,0.6165240400580949,,,-0.44417835772037506,,,"Rich Thompson",6422,460366
"Jeremy Accardo","TOR",24.2,0.26076196590599987,,0.45088159146709983,,,0.1990911252093765,-5.088583752512932,,,,2.7292326384899663,,,"Jeremy Accardo",6428,435618
"Tim Stauffer","SDP",73,-0.14541852713162226,,,,,-1.3724849403249046,1.1729470640420914,-1.9423608029826303,,,3.525452406510063,,,"Tim Stauffer",6432,431162
"Kevin Jepsen","LAA",54.2,0.8700979656158377,,2.219513643567807,,,-4.4242161970872145,1.770683377981186,-4.099988115244899,,,,,,"Kevin Jepsen",6475,448178
"Brian Wilson","SFG",72.1,1.657451483769599,,,,,-0.9913641858745265,0.6895621001566411,-22.539789974689484,,,-29.82386549313863,,,"Brian Wilson",6485,451216
"Waldis Joaquin","SFG",10.2,-4.460214924167942,,,,,0.09491297885449264,1.0430542627970378,,,,,,,"Waldis Joaquin",6580,471183
"Marc Rzepczynski","TOR",61.1,4.337877035140991,,,,,-0.42892518661005036,2.5986268231534617,-6.507590413093567,,,-4.005751969679347,,,"Marc Rzepczynski",6612,519240
"Carlos Carrasco","CLE",22.1,-6.998288125702828,,,,,-2.9579411382260528,-7.946882798121526,-1.9030785306971123,,,-0.7864731373173176,,,"Carlos Carrasco",6632,471911
"Jhonny Nunez","CHW",5.2,2.7032344572005735,,,,,-7.922210544347763,-1.6085689266522725,,,,-18.6397115389506,,,"Jhonny Nunez",6640,471919
"Anthony Ortega","LAA",12.2,-2.249671545895663,,,,,-5.790483645903759,0.069570711680821,-5.2250823974609375,,,0.5873429087492136,,,"Anthony Ortega",6745,471162
"Shairon Martis","WSN",85.2,0.9930801071576625,,,,,-2.0799008282748135,-0.3494475285212199,-2.961157126860185,,,-1.2000318701940638,,,"Shairon Martis",6781,463017
"Andrew Miller","FLA",80,-0.31759489357956056,,,,,-2.3971103131771088,-0.9299660906379607,,,,-1.9962792997961647,,,"Andrew Miller",6785,453192
"Jeff Manship","MIN",31.2,-1.309525919711496,,,,,-1.8264168075152805,,0.162234764800153,,,0.39161865256334605,,,"Jeff Manship",6865,453249
"Nick Adenhart","LAA",6,-5.179550498723984,,,,,0.5916577474824314,,1.0147012446237647,,,3.0911511182785034,,,"Nick Adenhart",6879,444440
"Collin Balester","WSN",30.1,-1.2260787370728283,,,,,-1.5421106959834243,,-2.201852763908497,,,-5.337357062559862,,,"Collin Balester",6883,444446
"Johnny Cueto","CIN",171.1,-0.17630824985489843,,-12.518936395645142,,,0.3695678096744439,0.049807275929246476,,,,-1.006158991674682,,,"Johnny Cueto",6893,456501
"Bobby Mosebach","LAA",2.1,-7.254161238670349,,,,,-5.72205165336872,8.015806334359306,1.8411782880624135,,,,,,"Bobby Mosebach",6927,458595
