Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"J.P. Howell","TBR",7,5,17,69,0,66.2,10.665001627350103,4.455000679779157,0.9450001441955787,0.2564102564102564,0.83333333,0.490566037,0.127272727,83.33143107096355,2.8350004325867357,,3.7120838531494287,3.430087344310533,0.7251465916633606,"J.P. Howell",8245,434442
"Kris Medlen","ATL",3,5,0,37,4,67.2,9.576355849511527,3.990148270629803,0.6650247117716338,0.32432432432432434,0.7,0.409836065,0.076923076,90.169744083938,4.256158155338457,,3.3483153170882565,3.6487225140570194,0.7231099382042885,"Kris Medlen",9417,450665
"Octavio Dotel","CHW",3,3,0,62,0,62.1,10.828876563541328,5.197860750499838,1.010695145930524,0.31333333333333335,0.79800499,0.296052631,0.089743589,93.15327299008811,3.3208554794860072,,3.883179983920491,4.065956362790063,0.7191956639289856,"Octavio Dotel",555,136734
"Grant Balfour","TBR",5,4,4,73,0,67.1,9.222775063928303,4.410892421878754,0.8019804403415915,0.29608938547486036,0.65420561,0.357142857,0.075949367,94.48020890130861,4.811882642049549,,3.7654007929258544,4.1471701108180135,0.700052797794342,"Grant Balfour",718,346797
"Andrew Miller","FLA",3,5,0,20,14,80,6.637499208748435,4.837499423325131,0.7874999061226957,0.3058823529411765,0.64891847,0.48,0.093333333,91.76060267857143,4.837499423325131,,4.44708359837534,4.540269421573948,0.6996505409479141,"Andrew Miller",6785,453192
"Tom Gorzelanny","- - -",7,3,0,22,7,47,9.000002374040946,3.2553200076318314,1.1489364732818228,0.2932330827067669,0.6043956,0.407407407,0.117647058,91.96848511540033,5.553192954195477,,3.905594610876552,3.6704734719688084,0.6963865645229816,"Tom Gorzelanny",6244,452733
"Francisco Liriano","MIN",5,13,0,29,24,136.2,8.03414674324909,4.280488018944188,1.3829268984281222,0.3189873417721519,0.66277837,0.401960784,0.125,92.64620947650099,5.795122241032131,,4.86781555517879,4.4839538396979695,0.6943197660148144,"Francisco Liriano",3201,434538
"Mark DiFelice","MIL",4,1,0,59,0,51.2,8.361293203491822,2.6129041260911947,1.0451616504364778,0.28859060402684567,0.77738516,0.258278145,0.073170731,87.28941127232143,3.6580657765276725,,3.6777291206614606,4.251483917848734,0.6943104267120361,"Mark DiFelice",2468,442707
"Aníbal Sánchez","FLA",4,8,0,16,16,86,7.43023189897476,4.813953061307592,1.0465115350668677,0.2901960784313726,0.78632479,0.419230769,0.102040816,91.57213664504717,3.8720926797474102,,4.597083626237039,4.581359122355839,0.6937689185142517,"Anibal Sanchez",3284,434671
"Kyle Lohse","STL",6,10,0,23,22,117.2,5.889518922758793,2.7535413145365784,1.223796139794035,0.2868421052631579,0.67090395,0.445876288,0.115107913,90.2986551621381,4.742210041701885,,4.550341675313278,4.33337015258922,0.6924382280558348,"Kyle Lohse",739,346798
