Name,Team,IP,vFA,vFT,vFC,vFS,vFO,vSI,vSL,vCU,vKC,vEP,vCH,vSC,vKN,NameASCII,PlayerId,MLBAMID
"Edinson Volquez","SDP",182.2,93.4875018780048,,,,,93.66644474034621,,,79.25765306122449,,83.59284448212084,,,"Edinson Volquez",3990,450172
"Josh Outman","COL",40.2,93.4696811965159,,,,,90.39166450500488,81.24104159140174,74.07143184116909,,,80.7008056640625,,,"Josh Outman",4004,489189
"Yusmeiro Petit","SFG",4.2,88.11273082386364,,,,,,84.05384239783653,76.74615478515625,,,82.4181795987216,,,"Yusmeiro Petit",4020,433589
"Héctor Santiago","CHW",70.1,92.59346437142565,,86.94343335700758,,,93.37470285790599,77.80000305175781,78.17333054315476,,,82.48285714285714,74.60689991918103,,"Hector Santiago",4026,502327
"Steve Johnson","BAL",38.1,88.9320298999136,,,,,90.52499389648438,79.24250183105468,67.515625,,,78.36559402301748,,,"Steve Johnson",4053,489002
"Brian Duensing","MIN",109,91.92540322580645,,,,,91.5173961900685,83.00786528716216,73.53032384072581,,,84.2318449567078,,,"Brian Duensing",4064,488846
"Alex Burnett","MIN",71.2,92.99966907184385,,,,,92.39453125,85.15294471153847,77.15573120117188,,,84.89999389648438,,,"Alex Burnett",4065,488751
"Christian Garcia","WSN",12.2,95.3249981219952,,,,,94.9797115602355,,,81.06841719777961,,86.33030007102273,,,"Christian Garcia",4067,451600
"Pedro Strop","BAL",66.1,96.6321647298995,,,,,96.89746976717902,82.8911197060033,,,,89.18461413261218,,,"Pedro Strop",4070,467008
"Rafael Perez","CLE",7.2,86.06333821614584,,,,,,80.72353228400735,,,,81.08153545673076,,,"Rafael Perez",4078,460370
"Junichi Tazawa","BOS",44,93.51439790575917,,,,86.63560413939791,,84.29999831627156,75.09422889122597,,,84.69999694824219,,,"Junichi Tazawa",4079,547749
"Dan Runzler","SFG",3.2,,,,,,94.91042073567708,83.313330078125,,,,,,,"Dan Runzler",4080,502130
"Mark Rogers","MIL",39,93.59750434027778,,,,,93.68888733878968,82.53004878227699,76.15555826822917,,,81.10000174386161,,,"Mark Rogers",4083,449161
"James Russell","CHC",69.1,89.34170430983413,,87.1443579889113,,,88.93733072916666,81.33205770316027,73.46805826822917,,,81.71742061491935,,,"James Russell",4089,460701
"Luke Gregerson","SDP",71.2,89.2388916015625,,89.48750305175781,,,89.05506963315217,83.01236263736264,76.27272727272727,,,78.96922889122597,,,"Luke Gregerson",4090,502381
"Carlos Villanueva","TOR",125.1,88.92589169456845,,,,,88.94292521926592,81.71516927083333,73.81213497421116,,62.376472024356616,81.11991204526805,,,"Carlos Villanueva",4138,453646
"Jose Mijares","- - -",56.1,91.18611987381703,,,,,88.21666463216145,80.58991350446429,,,,82.63880760989971,,,"Jose Mijares",4140,467726
"Derek Holland","TEX",175.1,93.2203140258789,,,,,92.9237770664213,82.19163796164773,73.80000305175781,76.45529513888889,,84.29999806330754,,,"Derek Holland",4141,502706
"Jake Arrieta","BAL",114.2,93.34304985434322,,,,,93.27555839342949,87.39225837953629,78.55806372857863,,,87.10980264501634,,,"Jake Arrieta",4153,453562
"Rafael Dolis","CHC",38,95.10629009726821,,,,,94.87611494180162,83.03191489361703,,,,87.28333536783855,,,"Rafael Dolis",4185,503569
"Enerio Del Rosario","HOU",19,87.8629126138245,,,,,88.50948780980603,78.14053922086148,,,,84.98999633789063,,,"Enerio Del Rosario",4204,491688
"Armando Galarraga","HOU",24,,,,,,88.51704709101382,82.88053822357382,,,,81.31538461538462,,,"Armando Galarraga",4222,451482
"Wilton Lopez","HOU",66.1,93.25559848826715,,,85.20558763586956,,91.64709614269141,82.32608695652173,,,,,,,"Wilton Lopez",4227,446641
"Jered Weaver","LAA",188.2,88.00408719346049,,87.96177455357143,,,87.43411968954248,81.4847347861842,71.47727272727273,,52.400001525878906,79.37512507697045,,,"Jered Weaver",4235,450308
"Brad Lincoln","- - -",88,93.3892225681391,,,83.69999694824219,,91.800001402159,,83.11551405877088,,,85.57118561308263,,,"Brad Lincoln",4241,453184
"Micah Owings","SDP",9.2,86.6234359741211,,86.2,,,,80.91071428571429,,,,79.89999389648438,,,"Micah Owings",4253,452249
"David Huff","CLE",26.2,90.51672321619027,,,,,88.43333180745442,,78.11590992320667,,,82.34130328634511,,,"David Huff",4257,453307
"David Hernandez","ARI",68.1,94.76517888231197,,,,,94.44889220228707,,81.37344385162602,,,85.82857142857142,,,"David Hernandez",4259,456696
"Mark Melancon","BOS",45,93.11352657004831,,92.86151444284539,85.88285435267858,,92.16000366210938,,,81.97527472527473,,83,,,"Mark Melancon",4264,453343
"Nick Blackburn","MIN",98.2,89.67647058823529,,87.0037037037037,,,90.3436516264428,,77.95244220020325,,,82.12652004076087,,,"Nick Blackburn",4270,448147
"Manny Parra","MIL",58.2,92.56573705179282,,,84.65450980968045,,92.41772151898734,84.9000015258789,76.7958984375,,,,,,"Manny Parra",4279,448159
"Matt Albers","- - -",60.1,94.08552470960115,,,,,93.57261050112612,87.8124034792878,80.24824390076755,,,81.18333435058594,,,"Matt Albers",4300,458006
