Name,Team,FB%,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,NameASCII,PlayerId,MLBAMID
"Darrell May","KCR",0.63186583,85.01282051,0.16645702,81.09939759,,,0.03144654,74.85964912,0.17023061,77.65373134,,,,,0.20259913,"Darrell May",613,118469
"Denny Bautista","- - -",0.64449541,93.15611814,0.05963303,85.625,,,0.12155963,79.73333333,0.13761468,85.80357143,0.03669725,93.35714286,,,0.2014652,"Denny Bautista",1947,429714
"Chad Cordero","MON",0.74061718,89.61433447,0.20016681,83.00662252,,,0.00166806,,0.05754796,83.49019608,,,,,0.2001321,"Chad Cordero",1816,430101
"Mike Wood","KCR",0.49960159,87.45492662,0.10438247,81.14,,,0.09243028,75.2293578,0.20876494,81.7092511,0.09482072,83.09615385,,,0.20012747,"Mike Wood",1806,430061
"Aaron Myette","CIN",0.69892473,89,0.23655914,81.6,,,0.02150538,77,0.04301075,81,,,,,0.19827586,"Aaron Myette",1263,150329
"Jeff Bennett","MIL",0.73570658,91.9337232,0.1995685,84.76086957,,,0.03128371,85.91666667,0.02804746,84.78571429,0.00539374,73,,,0.19022688,"Jeff Bennett",1903,430831
"Joey Eischen","MON",0.48582996,90.61627907,0.23076923,79.81818182,,,0.28340081,77,,,,,,,0.19016393,"Joey Eischen",774,113784
"Jason Boyd","PIT",0.3655914,90.17857143,0.53763441,85.43617021,,,,,0.09677419,84.125,,,,,0.18965517,"Jason Boyd",1020,150150
"Will Cunnane","ATL",0.53932584,88.72727273,,,,,0.43258427,74.08108108,0.02808989,79.75,,,,,0.18918919,"Will Cunnane",274,112940
"Rod Beck","SDP",0.42236025,83.19626168,0.00931677,83,,,0.2826087,75.68493151,0.23291925,77.85964912,0.05279503,78.625,,,0.18891688,"Rod Beck",1730,110763
"Kip Wells","PIT",0.70402893,92.01583113,0.09142562,84.43150685,0.00103306,90,0.10950413,78.10982659,0.09400826,83.82894737,,,,,0.18609492,"Kip Wells",1012,150337
"Justin Duchscherer","OAK",0.49212925,85.8108747,0.12013256,82.43089431,0.02568351,83.29032258,0.28914664,69.47148289,0.07290804,80.04918033,,,,,0.18565684,"Justin Duchscherer",910,407113
"Zach Day","MON",0.74358974,89.80834273,0.1511471,83.78125,0.00539811,88,0.01282051,80.05555556,0.08367072,83.73786408,0.00337382,87.4,,,0.18400876,"Zach Day",1496,400180
"Juan Rincon","MIN",0.65970409,93.25833333,0.32463011,85.65846154,,,0.01131419,79.33333333,0.00435161,86,,,,,0.18278805,"Juan Rincon",752,346799
"Stephen Randolph","ARI",0.6101949,90.85294118,0.16266867,84,,,0.00074963,81,0.22638681,82.31365314,,,,,0.18159509,"Stephen Randolph",1655,150159
"Brian Reith","CIN",0.63814181,90.84322034,0.21515892,83.30232558,,,0.03667482,81.2,0.1002445,82.59459459,0.00977995,84.75,,,0.18055556,"Brian Reith",347,367944
"Luis Ayala","MON",0.83271719,90.31511254,0.12476895,81.57647059,,,0.00462107,73,0.03789279,83.25806452,,,,,0.18030303,"Luis Ayala",1650,425646
"Oscar Villarreal","ARI",0.50406504,90.43835616,0.3495935,84.32727273,,,0.08536585,81.11764706,0.06097561,83.75,,,,,0.18,"Oscar Villarreal",1654,425629
"Justin Huisman","KCR",0.77151335,89.18357488,0.15430267,80.60465116,,,0.00296736,78,0.07121662,80.5625,,,,,0.17804878,"Justin Huisman",1914,430619
"Brandon Claussen","CIN",0.71014493,89.02284264,0.06666667,79.55263158,,,0.10724638,76.71428571,0.11594203,81.86111111,,,,,0.17791898,"Brandon Claussen",814,407799
"Travis Blackley","SEA",0.6441048,84.97647059,0.02401747,81.25,,,0.13973799,75.81395349,0.18995633,78.16129032,0.00218341,,,,0.17773788,"Travis Blackley",3234,429715
"Mike Matthews","CIN",0.74709977,89.47389558,0.14617169,81.98039216,,,0.03480278,79.90909091,0.07192575,83.75,,,,,0.17748092,"Mike Matthews",1170,150347
"Doug Davis","MIL",0.5925,87.30667702,0.08785714,82.91712707,0.15964286,85.02813299,0.07357143,72.8136646,0.08642857,80.70491803,,,,,0.17704052,"Doug Davis",1244,150277
"Aaron Small","FLA",0.6712963,89.72164948,0.07407407,81.5,,,0.10648148,79.26315789,0.14814815,78.1,,,,,0.17557252,"Aaron Small",1477,122332
"Tim Redding","HOU",0.66302865,91.10742857,0.17598909,84.0210084,,,0.09822647,74.73913043,0.06139154,83.0952381,0.00136426,87.5,,,0.17554683,"Tim Redding",573,400062
"Joe Valentine","CIN",0.66063348,92.59447005,0.19457014,84.8030303,,,,,0.14027149,83.03571429,0.00452489,86,,,0.17537313,"Joe Valentine",1810,407907
"Jeff Fassero","- - -",0.52024708,87.84707904,0.23472889,82.82758621,0.01372684,,0.09128346,76.70833333,0.08510638,79.99056604,0.05490734,83.56451613,,,0.17524025,"Jeff Fassero",279,114032
"Denny Stark","COL",0.66819222,88.42372881,0.19221968,81.35294118,,,,,0.1395881,81.07142857,,,,,0.17514124,"Denny Stark",452,150128
"John Grabow","PIT",0.52542373,90.82240437,0.31412429,83.58695652,,,0.01694915,80.5,0.14350282,83.82242991,,,,,0.17455896,"John Grabow",1848,346848
"Doug Waechter","TBD",0.67545639,90.41825902,0.21298174,82.29530201,,,0.0040568,78.75,0.10750507,82.23170732,,,,,0.17420436,"Doug Waechter",1814,425531
"Mike Johnston","PIT",0.72086721,91.63596491,0.01897019,82.25,,,0.24661247,74.85365854,0.01355014,83,,,,,0.17410714,"Mike Johnston",1868,430635
