Name,Team,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,CStr%,CSW%,NameASCII,PlayerId,MLBAMID
"Jordan Walden","STL",0.42696629,0.70769231,0.54545455,0.47368421,0.73913043,0.61904762,0.42207792,0.69047619,0.20512821,0.12820513,0.33333333,"Jordan Walden",3271,477229
"José Domínguez","TBR",0.15625,0.66666667,0.43661972,0.8,0.76923077,0.77419355,0.54929577,0.57894737,0.09722222,0.23611111,0.33333333,"Jose Dominguez",11571,523848
"Pedro Strop","CHC",0.34910277,0.63744076,0.46666667,0.40186916,0.81412639,0.63146998,0.40772947,0.57777778,0.16824197,0.16446125,0.33270321,"Pedro Strop",4070,467008
"Mike Morin","LAA",0.36241611,0.6733871,0.503663,0.5462963,0.77245509,0.68363636,0.45421245,0.64238411,0.15703971,0.17509025,0.33212996,"Mike Morin",13442,573046
"Rafael Martín","WSN",0.29370629,0.76923077,0.49392713,0.45238095,0.75,0.64754098,0.42105263,0.71428571,0.17408907,0.15789474,0.33198381,"Rafael Martin",10258,514669
"Greg Holland","KCR",0.33902439,0.62046205,0.45862553,0.51079137,0.80319149,0.67889908,0.42496494,0.6373057,0.14644351,0.18549512,0.33193863,"Greg Holland",7196,518813
"Xavier Cedeño","- - -",0.3594132,0.59384615,0.46321526,0.51020408,0.81865285,0.68529412,0.44277929,0.53968254,0.14420485,0.18733154,0.33153639,"Xavier Cedeno",36,458584
"Cody Allen","CLE",0.31240188,0.61122244,0.44366197,0.48241206,0.84262295,0.70039683,0.43926056,0.5979021,0.13257243,0.19841967,0.3309921,"Cody Allen",12183,592102
"Francisco Rodríguez","MIL",0.35698448,0.625,0.47883918,0.48447205,0.85957447,0.70707071,0.45465538,0.63425926,0.14009662,0.19082126,0.33091787,"Francisco Rodriguez",1642,408061
"Kenley Jansen","LAD",0.33139535,0.73555556,0.5604534,0.57894737,0.74622356,0.70337079,0.56675063,0.695,0.16603774,0.16477987,0.33081761,"Kenley Jansen",3096,445276
"Chris Sale","CHW",0.34777839,0.67,0.49322901,0.58044164,0.78208955,0.70408786,0.45139934,0.67330211,0.14595245,0.18447186,0.33042432,"Chris Sale",10603,519242
"Brad Peacock","HOU",0.25,0.48484848,0.34117647,0.69230769,0.9375,0.82758621,0.38823529,0.68181818,0.05882353,0.27058824,0.32941176,"Brad Peacock",5401,502748
"Craig Kimbrel","SDP",0.27422303,0.68052516,0.45916335,0.46,0.75241158,0.65726681,0.45517928,0.61087866,0.15674603,0.17162698,0.32837302,"Craig Kimbrel",6655,518886
"Oliver Pérez","- - -",0.31351351,0.62535211,0.4662069,0.51724138,0.83783784,0.72781065,0.48965517,0.6557377,0.12568306,0.20218579,0.32786885,"Oliver Perez",1514,424144
"Luke Gregerson","HOU",0.41650295,0.66005666,0.5162413,0.53301887,0.8583691,0.70337079,0.40951276,0.66945607,0.15224913,0.17416378,0.32641292,"Luke Gregerson",4090,502381
"AJ Ramos","MIA",0.34042553,0.66200466,0.46734131,0.44642857,0.82394366,0.65748031,0.39466421,0.59205776,0.1600736,0.16467341,0.32474701,"AJ Ramos",8350,573109
"Clayton Kershaw","LAD",0.34448932,0.6865942,0.51165536,0.51256281,0.78188215,0.68915802,0.48863972,0.68202247,0.1589033,0.16420991,0.32311321,"Clayton Kershaw",2036,477132
"Abel De Los Santos","WSN",0.42105263,0.66666667,0.51612903,0.5,0.875,0.6875,0.38709677,0.625,0.16129032,0.16129032,0.32258065,"Abel De Los Santos",12962,593582
"Darren O'Day","BAL",0.35528596,0.65082645,0.49010368,0.56097561,0.78730159,0.69807692,0.45617342,0.65758755,0.14783427,0.17419962,0.3220339,"Darren O'Day",3321,503285
"Colt Hynes","TOR",0.38709677,0.69230769,0.52631579,0.25,1,0.7,0.45614035,0.66666667,0.15254237,0.16949153,0.3220339,"Colt Hynes",7560,518833
"Justin Grimm","CHC",0.29182156,0.60365854,0.40993072,0.41401274,0.86363636,0.66478873,0.37875289,0.59313725,0.13678161,0.18390805,0.32068966,"Justin Grimm",11720,518748
"Nate Jones","CHW",0.33333333,0.64885496,0.48042705,0.46,0.81176471,0.68148148,0.46619217,0.59722222,0.15302491,0.16725979,0.3202847,"Nate Jones",4696,518858
"Boone Logan","COL",0.32453826,0.64363636,0.4587156,0.47154472,0.80225989,0.66666667,0.4204893,0.61309524,0.15197568,0.1656535,0.31762918,"Boone Logan",5525,457429
"Jeurys Familia","NYM",0.37744361,0.67258383,0.50511945,0.46215139,0.84750733,0.68412162,0.43259386,0.61363636,0.15942029,0.15771526,0.31713555,"Jeurys Familia",5114,544727
"Drew Storen","WSN",0.29437229,0.65721649,0.46,0.55147059,0.82745098,0.7314578,0.45647059,0.61842105,0.12237762,0.19347319,0.31585082,"Drew Storen",6983,519322
"Ryan Dull","OAK",0.31724138,0.56190476,0.42,0.56521739,0.86440678,0.73333333,0.42,0.5,0.11023622,0.20472441,0.31496063,"Ryan Dull",13974,623430
"Andrew Albers","TOR",0.29411765,0.38888889,0.34285714,1,0.85714286,0.91666667,0.51428571,0.63636364,0.02857143,0.28571429,0.31428571,"Andrew Albers",7853,452027
"Shawn Kelley","SDP",0.32380952,0.68632708,0.49432535,0.48529412,0.80859375,0.69642857,0.4703657,0.73170732,0.14709518,0.16687268,0.31396786,"Shawn Kelley",7773,518875
"Aaron Barrett","WSN",0.36679537,0.62100457,0.4832636,0.50526316,0.86764706,0.71861472,0.458159,0.68292683,0.13598326,0.17782427,0.31380753,"Aaron Barrett",11243,502578
"Yimi García","LAD",0.28981723,0.72307692,0.52505967,0.58558559,0.76595745,0.72045455,0.54295943,0.63555556,0.14608076,0.16745843,0.31353919,"Yimi Garcia",12095,554340
"Sam LeCure","CIN",0.26060606,0.50724638,0.37293729,0.79069767,0.88571429,0.84955752,0.45544554,0.61445783,0.05610561,0.25742574,0.31353135,"Sam LeCure",4664,459967
"José Fernández","MIA",0.35057471,0.67021277,0.50201613,0.55191257,0.84126984,0.73493976,0.47379032,0.60754717,0.13306452,0.18044355,0.31350806,"Jose Fernandez",11530,605228
"Brandon McCarthy","LAD",0.35353535,0.66272189,0.49591281,0.64285714,0.83928571,0.76373626,0.46049046,0.65957447,0.11716621,0.19618529,0.3133515,"Brandon McCarthy",4662,435221
"Sam Tuivailala","STL",0.32432432,0.57522124,0.43295019,0.60416667,0.83076923,0.73451327,0.43295019,0.6,0.11320755,0.2,0.31320755,"Sam Tuivailala",13485,592815
"Zach Putnam","CHW",0.3715342,0.67931034,0.47894103,0.45273632,0.83248731,0.64070352,0.34897714,0.5754717,0.16943128,0.14336493,0.31279621,"Zach Putnam",9080,474029
"Brett Cecil","TOR",0.33986928,0.67045455,0.48335388,0.46794872,0.83050847,0.68622449,0.43403206,0.59813084,0.14945322,0.16281896,0.31227217,"Brett Cecil",2660,446399
"Jon Edwards","- - -",0.23837209,0.55944056,0.38412698,0.48780488,0.7875,0.68595041,0.45396825,0.54666667,0.12063492,0.19047619,0.31111111,"Jon Edwards",1483,457754
"Nick Tropeano","LAA",0.29775281,0.62116041,0.44375963,0.59433962,0.82417582,0.73958333,0.45146379,0.63975155,0.11520737,0.19508449,0.31029186,"Nick Tropeano",12385,607374
"Sean Gilmartin","NYM",0.35135135,0.6147541,0.46517119,0.59171598,0.83555556,0.73096447,0.43211334,0.6212766,0.12226067,0.18800461,0.31026528,"Sean Gilmartin",12781,543219
"Aaron Loup","TOR",0.28947368,0.62099125,0.44674965,0.60909091,0.8685446,0.78018576,0.47441217,0.65591398,0.09820194,0.21161826,0.30982019,"Aaron Loup",10343,571901
"Max Scherzer","WSN",0.36,0.73480334,0.54756934,0.58043118,0.7891322,0.72058824,0.50044736,0.71301446,0.15272403,0.15689193,0.30961596,"Max Scherzer",3137,453286
"Sergio Santos","- - -",0.39007092,0.61682243,0.48790323,0.45454545,0.84848485,0.66942149,0.43145161,0.69863014,0.15873016,0.15079365,0.30952381,"Sergio Santos",4734,435045
"Tony Sipp","HOU",0.34004024,0.70170455,0.48998822,0.53254438,0.82186235,0.70432692,0.41460542,0.64814815,0.14419695,0.16529894,0.3094959,"Tony Sipp",8280,448609
"Noé Ramirez","BOS",0.28985507,0.62162162,0.437751,0.45,0.86956522,0.71559633,0.44578313,0.6557377,0.12449799,0.18473896,0.30923695,"Noe Ramirez",12800,598287
"Francisco Liriano","PIT",0.32392894,0.64788732,0.43974488,0.50967742,0.82318841,0.67480916,0.35750252,0.57567917,0.14280925,0.16627556,0.30908481,"Francisco Liriano",3201,434538
"Caleb Thielbar","MIN",0.23076923,0.57142857,0.40740741,0.77777778,0.875,0.84848485,0.51851852,0.65,0.0617284,0.24691358,0.30864198,"Caleb Thielbar",10078,573204
"Stephen Strasburg","WSN",0.31456311,0.63105836,0.47133758,0.58024691,0.85423197,0.76195426,0.49534542,0.65583174,0.11209006,0.19627998,0.30837004,"Stephen Strasburg",10131,544931
"C.C. Lee","CLE",0.33333333,0.66666667,0.46153846,0.625,0.9,0.77777778,0.38461538,0.6,0.1025641,0.20512821,0.30769231,"C.C. Lee",5177,547348
