Name,Team,IP,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,Pace,NameASCII,PlayerId,MLBAMID
"Braden Looper","- - -",568.2,0.26907843,0.62293814,0.44815443,0.73307164,0.90028962,0.85069849,0.50606495,,"Braden Looper",526,131702
"Vladimir Nunez","ATL",33.2,0.30254777,0.62181818,0.4516129,0.73684211,0.83040936,0.79699248,0.46689304,,"Vladimir Nunez",532,136727
"R.J. Swindle","- - -",11.1,0.22522523,0.64122137,0.45041322,0.72,0.8452381,0.81651376,0.54132231,,"R.J. Swindle",539,449881
"Julian Tavarez","- - -",224.1,0.23610053,0.60060286,0.41931818,0.56129032,0.86951066,0.78319783,0.50265152,,"Julian Tavarez",541,123118
"Doug Brocail","- - -",163,0.29618768,0.61430921,0.46895936,0.75247525,0.89290495,0.85238095,0.5430996,,"Doug Brocail",551,111492
"Wade Miller","CHC",13.2,,,,,,,,,"Wade Miller",568,150063
"Tim Redding","- - -",386,0.25742956,0.6351551,0.45046235,0.74962519,0.88953488,0.85043988,0.51103982,,"Tim Redding",573,400062
"Ricky Stone","CIN",5.1,,,,,,,,,"Ricky Stone",576,150392
"Winston Abreu","- - -",36.1,0.2745098,0.63,0.45049505,0.71428571,0.79365079,0.76923077,0.4950495,,"Winston Abreu",582,275700
"Paul Byrd","- - -",406.1,0.27304551,0.64620009,0.48800396,0.77991453,0.91827243,0.88545362,0.57605738,,"Paul Byrd",594,111838
"Nate Field","FLA",1,,,,,,,,,"Nate Field",599,407757
"Roberto Hernandez","- - -",46.1,0.23958333,0.64848485,0.42857143,0.65217391,0.89719626,0.82352941,0.46218487,,"Roberto Hernandez",605,115832
"Brian Shouse","- - -",127,0.24132948,0.63262765,0.45150502,0.67664671,0.89370079,0.84,0.53712375,,"Brian Shouse",630,122195
"Eric Gagne","- - -",98.1,0.30116959,0.63970588,0.46994135,0.62621359,0.83218391,0.76599064,0.49853372,,"Eric Gagne",650,150378
"Hideo Nomo","KCR",4.1,0.21818182,0.58181818,0.4,0.5,0.875,0.77272727,0.5,,"Hideo Nomo",666,119827
"Odalis Perez","- - -",297,0.29980904,0.60897853,0.4527027,0.65180467,0.89850427,0.8159204,0.49453024,,"Odalis Perez",668,136602
"Valerio De Los Santos","COL",8,0.21782178,0.7012987,0.42696629,0.40909091,0.7962963,0.68421053,0.43258427,,"Valerio De Los Santos",681,136304
"Chad Fox","CHC",3.2,0.16,0.73913043,0.4375,0.75,0.88235294,0.85714286,0.47916667,,"Chad Fox",684,114354
"Ray King","- - -",46,0.2208589,0.58955224,0.38720539,0.72222222,0.86075949,0.8173913,0.45117845,,"Ray King",693,150037
"Glendon Rusch","- - -",102.1,0.29036635,0.61272923,0.46995192,0.67757009,0.92429577,0.85677749,0.55709135,,"Glendon Rusch",707,121556
"Luis Vizcaino","- - -",136.2,0.24923077,0.67943262,0.47306273,0.58641975,0.80584551,0.75039002,0.5202952,,"Luis Vizcaino",714,150430
"Eddie Guardado","- - -",108.1,0.22700119,0.67492567,0.47183099,0.8,0.87371512,0.8576349,0.54658722,,"Eddie Guardado",727,115216
"Eric Milton","- - -",55,0.33830846,0.63589744,0.48484848,0.73529412,0.83870968,0.80208333,0.49242424,,"Eric Milton",743,132980
"Tony Armas","- - -",105.1,0.27835052,0.67671233,0.47144754,0.72222222,0.90283401,0.84788732,0.48472776,,"Tony Armas",761,150393
"Matt Herges","- - -",147.2,0.31293189,0.58641359,0.44885799,0.60252366,0.86882453,0.77544248,0.49702085,,"Matt Herges",780,150382
"Tomo Ohka","- - -",127,0.26506024,0.6360424,0.47323199,0.77840909,0.90555556,0.87430168,0.56113681,,"Tomo Ohka",788,219594
"Todd Williams","BAL",14.1,0.38888889,0.52,0.46511628,0.42857143,0.76923077,0.65,0.58139535,,"Todd Williams",805,124343
"Roger Clemens","NYY",99,0.29577465,0.54736842,0.39662447,0.71428571,0.96153846,0.85106383,0.40084388,,"Roger Clemens",815,112388
"Orlando Hernandez","NYM",147.2,0.25,0.60869565,0.42891566,0.59615385,0.88095238,0.79775281,0.49879518,,"Orlando Hernandez",823,133340
"Randy Keisler","STL",17.1,0.07142857,0.75862069,0.53488372,1,1,1,0.6744186,,"Randy Keisler",830,342892
"Brandon Knight","NYM",12,0.2992126,0.63551402,0.45299145,0.76315789,0.91176471,0.85849057,0.45726496,,"Brandon Knight",831,150284
"Mike Mussina","NYY",352.1,0.25505825,0.55773196,0.41949034,0.82932692,0.91589649,0.89185581,0.54326519,,"Mike Mussina",837,119608
"Mike Stanton","CIN",57.2,0.34946237,0.69892473,0.52419355,0.58461538,0.84615385,0.75897436,0.5,,"Mike Stanton",849,122681
"David Wells","- - -",157.1,0.27566807,0.58375635,0.45459906,0.74489796,0.89217391,0.85473411,0.5807783,,"David Wells",855,124071
"Mike Bacsik","WSN",118,0.22592593,0.64609053,0.42495127,0.73770492,0.89808917,0.85321101,0.47368421,,"Mike Bacsik",863,407194
"John Bale","KCR",95,0.23372287,0.57766367,0.42815675,0.72142857,0.86222222,0.82881356,0.56531205,,"John Bale",864,150469
"Armando Benitez","- - -",56.2,0.26111111,0.6407767,0.46373057,0.70212766,0.76515152,0.74860335,0.53367876,,"Armando Benitez",865,110859
"Kane Davis","PHI",11.1,0.25531915,0.54545455,0.3956044,0.58333333,0.875,0.77777778,0.48351648,,"Kane Davis",872,282327
"Shawn Estes","SDP",43.2,0.26256983,0.52957746,0.39551192,0.74468085,0.88829787,0.84042553,0.49789621,,"Shawn Estes",873,113915
"Jae Weong Seo","TBD",52,0.31092437,0.56976744,0.4195122,0.75675676,0.97959184,0.88372093,0.4195122,,"Jae Weong Seo",895,150242
"Steve Trachsel","- - -",197.2,0.20875912,0.59731544,0.38953942,0.76923077,0.93539326,0.88777555,0.46526151,,"Steve Trachsel",898,123431
"David Weathers","- - -",209,0.23554007,0.6531457,0.42640938,0.70710059,0.89607098,0.83939663,0.45705638,,"David Weathers",902,124000
"Chad Bradford","- - -",134.1,0.29691211,0.66618497,0.52650494,0.72,0.92190889,0.87883959,0.62174304,,"Chad Bradford",904,136268
"Mark Mulder","STL",12.2,0.25,0.70909091,0.48165138,0.81481481,0.96153846,0.92380952,0.50458716,,"Mark Mulder",932,150426
"Rheal Cormier","CIN",3,,,,,,,,,"Rheal Cormier",952,112690
"Brandon Duckworth","KCR",84.2,0.24340771,0.62910798,0.42219804,0.83333333,0.89552239,0.87628866,0.46354733,,"Brandon Duckworth",954,346855
"Jose Mesa","- - -",50.2,0.31543624,0.66956522,0.46969697,0.65957447,0.94805195,0.83870968,0.43560606,,"Jose Mesa",961,118986
"Josh Fogg","- - -",289.2,0.2545676,0.63831212,0.43732057,0.74401914,0.8887723,0.84463895,0.47623604,,"Josh Fogg",989,150319
"Al Reyes","TBD",83.1,0.32413793,0.67368421,0.4973913,0.69148936,0.80729167,0.76923077,0.49565217,,"Al Reyes",1005,121099
"Ron Villone","- - -",141,0.24214418,0.64165733,0.42278481,0.67557252,0.87783595,0.81437126,0.4521519,,"Ron Villone",1010,123725
"Dave Williams","NYM",4.1,,,,,,,,,"Dave Williams",1013,400063
"Adam Eaton","- - -",317.2,0.23473282,0.64618885,0.45195195,0.69105691,0.89964789,0.84850498,0.52792793,,"Adam Eaton",1029,284566
"Alan Embree","- - -",154.1,0.28243513,0.69112319,0.49667616,0.64310954,0.85058978,0.79445507,0.52421652,,"Alan Embree",1030,113833
"Brian Lawrence","NYM",29,0.32666667,0.63063063,0.4559387,0.7755102,0.84285714,0.81512605,0.42528736,,"Brian Lawrence",1045,400147
