Name,Team,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,RS,RS/9,Balls,Strikes,Pitches,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,NameASCII,PlayerId,MLBAMID
"Robby Scott","- - -",0.2482758620689655,0.816901408,0.151315789,0.381578947,0.467105263,0.084507042,0.14084507,38,6.143715013219602,417,604,1021,0.43225806,0.29032258,0.27741935,0.22580645,0.47096774,0.30322581,"Robby Scott",13042,582494
"Greg Holland","- - -",0.2870299309286262,1.203319502,0.197278911,0.438397581,0.364323507,0.095435684,0.089211618,146,2.399269873834134,3321,5702,9023,0.39450223,0.33952452,0.26597325,0.16567608,0.53120357,0.30312036,"Greg Holland",7196,518813
"Jared Koenig","- - -",0.2902542372881356,1.272727272,0.163179916,0.468619246,0.368200836,0.09090909,0.079545454,83,4.464143918178656,963,1752,2715,0.42268041,0.33195876,0.24536082,0.15670103,0.54020619,0.30309278,"Jared Koenig",27517,657649
"Jason Lane","SDP",0.1875,1.5,0.242424242,0.454545454,0.303030303,0.2,0.1,1,0.8709680098773618,38,103,141,0.39393939,0.24242424,0.36363636,0.18181818,0.51515152,0.3030303,"Jason Lane",1397,407835
"Harvey Garcia","FLA",0.36666666666666664,0.714285714,0.225806451,0.322580645,0.451612903,0.071428571,0.214285714,2,1.4594583685515974,83,134,217,0.33333333,0.48484848,0.18181818,0.15151515,0.54545455,0.3030303,"Harvey Garcia",3100,460648
"Frank Mata","BAL",0.34375,2.375,0.181818181,0.575757575,0.242424242,0,0.125,7,3.634618050955296,127,184,311,0.39393939,0.46969697,0.13636364,0.18181818,0.51515152,0.3030303,"Frank Mata",4230,469097
"Joe Colón","CLE",0.3225806451612903,0.733333333,0.212121212,0.333333333,0.454545454,0.066666666,0.133333333,6,5.40000514984622,73,113,186,0.21212121,0.51515152,0.27272727,0.03030303,0.66666667,0.3030303,"Joe Colon",4920,571572
"Corbin Burnes","- - -",0.27417998317914216,1.437422552,0.201056051,0.471161657,0.32778229,0.102850061,0.128872366,583,5.420454780424932,5539,9900,15439,0.43593876,0.35414988,0.20991136,0.18493151,0.51208703,0.30298147,"Corbin Burnes",19361,669203
"James Shields","- - -",0.2938451356717406,1.177909821,0.199203187,0.433106284,0.367690528,0.087731562,0.126179657,1347,4.634174497867152,15118,26137,41255,0.44817998,0.33139535,0.22042467,0.16076845,0.53627401,0.30295753,"James Shields",7059,448306
"Casey Daigle","- - -",0.34099616858237547,1.242105263,0.19924812,0.443609022,0.357142857,0.105263157,0.136842105,57,7.158140265164159,495,740,1235,0.44525547,0.27737226,0.27737226,0.12043796,0.57664234,0.30291971,"Casey Daigle",1880,430664
"Pablo López","- - -",0.2974438419829589,1.348451327,0.205761316,0.4560419,0.338196782,0.098451327,0.127212389,531,4.952331664948122,5293,10208,15501,0.43244246,0.33407572,0.23348181,0.17260579,0.52449889,0.30289532,"Pablo Lopez",17085,641154
"Josh A. Smith","- - -",0.30590339892665475,1.086363636,0.219387755,0.406462585,0.374149659,0.054545454,0.145454545,89,4.337545522094053,1241,2068,3309,0.45685279,0.33671743,0.20642978,0.15736041,0.53976311,0.30287648,"Josh A. Smith",10946,595001
"Jacob Webb","- - -",0.25148809523809523,0.806557377,0.203757225,0.355491329,0.440751445,0.124590163,0.091803278,125,4.446641120755244,1421,2691,4112,0.40142857,0.35285714,0.24571429,0.17714286,0.52,0.30285714,"Jacob Webb",19274,657097
"Michael Kirkman","- - -",0.30158730158730157,1.04032258,0.221538461,0.396923076,0.381538461,0.096774193,0.096774193,73,6.027526027466952,772,1186,1958,0.37308869,0.32415902,0.30275229,0.18042813,0.51681957,0.30275229,"Michael Kirkman",9877,457779
"Kenta Maeda","- - -",0.28510140405616224,1.021256038,0.21500938,0.396622889,0.388367729,0.115942028,0.137198067,607,5.536824370705577,5671,10518,16189,0.41694414,0.34665187,0.236404,0.19533851,0.50203478,0.30262671,"Kenta Maeda",18498,628317
