Name,Team,IP,Stf+ FA,Stf+ SI,Stf+ FC,Stf+ FS,Stf+ SL,Stf+ CU,Stf+ CH,Stf+ KC,Stf+ FO,Stuff+,Location+,Pitching+,NameASCII,PlayerId,MLBAMID
"(Unknown) Green","DS",7.1,,,,,,,,,,,,,"(Unknown) Green",1015297,
"Victor Greenidge","NYC",54.2,,,,,,,,,,,,,"Victor Greenidge",1015298,
"Joe Greene","KCM",1.2,,,,,,,,,,,,,"Joe Greene",1015300,
"John Gregory","BBB",1,,,,,,,,,,,,,"John Gregory",1015302,
"Claude Grier","- - -",451.2,,,,,,,,,,,,,"Claude Grier",1015303,
"Bob Griffith","- - -",510.1,,,,,,,,,,,,,"Bob Griffith",1015304,
"John Griffin","SL2",42.2,,,,,,,,,,,,,"John Griffin",1015306,
"Robert Griffin","CC2",12,,,,,,,,,,,,,"Robert Griffin",1015307,
"Juan Guilbe","- - -",24.1,,,,,,,,,,,,,"Juan Guilbe",1015316,
"Nap Gulley","- - -",28,,,,,,,,,,,,,"Nap Gulley",1015317,
"Earl Gurley","- - -",268.2,,,,,,,,,,,,,"Earl Gurley",1015319,
"Speedball Hackett","- - -",6.2,,,,,,,,,,,,,"Speedball Hackett",1015321,
"Harold Hairston","HG",54.2,,,,,,,,,,,,,"Harold Hairston",1015323,
"(Unknown) Haley","DS",6,,,,,,,,,,,,,"(Unknown) Haley",1015326,
"Perry Hall","- - -",24.1,,,,,,,,,,,,,"Perry Hall",1015332,
"Eppie Hamilton","MRS",12,,,,,,,,,,,,,"Eppie Hamilton",1015333,
"J. C. Hamilton","HG",118,,,,,,,,,,,,,"J. C. Hamilton",1015334,
"Ted Hamilton","- - -",11.1,,,,,,,,,,,,,"Ted Hamilton",1015338,
"Lewis Hampton","- - -",772.1,,,,,,,,,,,,,"Lewis Hampton",1015340,
"Art Hancock","CEL",6,,,,,,,,,,,,,"Art Hancock",1015342,
"Leo Hannibal","- - -",99,,,,,,,,,,,,,"Leo Hannibal",1015345,
"Lovell Harden","CBE",12.1,,,,,,,,,,,,,"Lovell Harden",1015346,
"Roy Harding","BCA",7,,,,,,,,,,,,,"Roy Harding",1015348,
"Wesley Hardiman","SL2",2,,,,,,,,,,,,,"Wesley Hardiman",1015349,
"George Harney","CAG",728.1,,,,,,,,,,,,,"George Harney",1015353,
"Chick Harper","DS",11,,,,,,,,,,,,,"Chick Harper",1015354,
"John Harper","- - -",262,,,,,,,,,,,,,"John Harper",1015356,
"Ben Harris","- - -",10,,,,,,,,,,,,,"Ben Harris",1015360,
"Earl Harrison","- - -",88.1,,,,,,,,,,,,,"Earl Harrison",1015364,
"Roger Harris","BBB",5,,,,,,,,,,,,,"Roger Harris",1015369,
"Vernon Harrison","NE",2.1,,,,,,,,,,,,,"Vernon Harrison",1015373,
"Wilmer Harris","PS",187,,,,,,,,,,,,,"Wilmer Harris",1015375,
"Bill Harvey","- - -",490,,,,,,,,,,,,,"Bill Harvey",1015384,
"(Unknown) Hastings","SLS",1,,,,,,,,,,,,,"(Unknown) Hastings",1015386,
"Lemuel Hawkins","KCM",5,,,,,,,,,,,,,"Lemuel Hawkins",1015389,
"Bun Hayes","- - -",332.2,,,,,,,,,,,,,"Bun Hayes",1015393,
"Johnny Hayes","NE",1.2,,,,,,,,,,,,,"Johnny Hayes",1015395,
"(Unknown) Hayes","BBB",4.1,,,,,,,,,,,,,"(Unknown) Hayes",1015396,
