Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Jack Jenkins","- - -",0,3,0,8,3,26.2,5.4000136471139575,6.412516205947824,2.025005117667734,0.27848101265822783,0.85492228,,,,4.725011941224713,,6.41168644234736,,-0.46116984635591507,"Jack Jenkins",1006389,116526
"Greg Bollo","CHW",0,1,0,18,1,29.2,6.06740883875068,3.6404453032504076,1.51685220968767,0.175,0.77777778,,,,3.337074861312874,,4.8853950449672165,,-0.46166832745075226,"Greg Bollo",1001150,111179
"Rafael Medina","FLA",3,7,0,32,12,90.2,6.4522052489247494,7.147058121885877,1.0919116575103422,0.2982456140350877,0.68326948,,,,5.955881768238231,,5.795876723102248,,-0.4620687812566757,"Rafael Medina",1008716,133241
"Mul Holland","- - -",1,1,0,13,0,23,1.956521779693143,5.869565339079428,1.1739130678158858,0.16666666666666666,0.57553957,,,,6.260869695018057,,6.497684618807747,,-0.46213438361883163,"Mul Holland",1005951,116071
"George Curry","SLB",0,3,0,3,3,15.2,1.1489336990402688,13.787204388483227,0,0.3105585238550672,0.65116279,,,,7.468069043761748,,7.107926562814169,,-0.4626336097717285,"George Curry",1002893,112959
"Lamar Potter","BCA",1,2,0,5,3,21.2,3.738455724330216,3.323071754960192,,,,,,,4.984607632440287,,,,-0.46308842301368713,"Lamar Potter",1016174,
"Oscar Streit","- - -",1,7,0,10,8,66.1,1.3567825801542104,5.4271303206168415,0.5427130320616842,0.31915689095385,0.48259494,,,,5.5628085786322625,,5.242122942395691,,-0.46443232893943787,"Oscar Streit",1012608,122866
"Zac Curtis","- - -",0,2,0,42,0,38,8.05263339779755,8.289475556556301,0.9473686350350058,0.2621359223300971,0.72289157,0.37735849,0.09090909,91.86042926996734,4.736843175175029,4.942046335283629,5.970742347319496,6.554445962174498,-0.4647451154887676,"Zac Curtis",16684,657205
"Lyle Bigbee","- - -",0,3,0,17,2,53,2.207547169811321,4.9245283018867925,0.8490566037735849,0.3385416666666667,0.60869565,,,,6.962264150943396,,5.230665316671695,,-0.46580990962684155,"Lyle Bigbee",1000957,110985
"Ken Turner","CAL",1,2,0,13,1,17.1,3.1153906717926025,2.076927114528402,2.076927114528402,0.21052631578947367,0.77922078,,,,4.153854229056804,,5.711774087810658,,-0.4661628007888794,"Ken Turner",1013230,123515
"Buddy Harris","HOU",1,1,0,22,0,37,5.594594522494309,3.8918918417351716,1.4594594406506893,0.2796610169491525,0.6223176,,,,6.324324242819654,,4.645446455938451,,-0.46619804203510284,"Buddy Harris",1005404,115537
