Name,Team,IP,K/9+,BB/9+,K/BB+,HR/9+,K%+,BB%+,AVG+,WHIP+,BABIP+,LOB%+,ERA-,FIP-,xFIP-,LD%+,GB%+,FB%+,NameASCII,PlayerId,MLBAMID
"King Kelly","- - -",45.2,24.28557417987871,204.40739057999343,11.974801246856149,306.03400583388895,,,123.06476932118318,149.03880744637658,109.03259874912175,93.74976464794946,111.92944293670797,166.2015437293734,,,,,"King Kelly",1006806,116953
"Mike Kelly","PHI",6.2,97.95724151381884,189.6474685573952,51.65227900701319,0,85.04514805605339,164.6493759079383,118.88424143543025,140.55924213847905,121.37273494314175,75.38602657533289,227.4838286539834,109.68498753094664,,,,,"Mike Kelly",1006808,116952
"Ren Kelly","PHA",7,43.68627478029235,153.4773417777565,28.464315569693632,0,40.461823025810105,142.14930089414742,88.88795103494142,108.47900262039838,86.77037947601026,109.47655166586527,63.037003713612805,106.24185692415915,,,,,"Ren Kelly",1006814,116956
"Bill Kelso","- - -",201,120.14288510018645,138.58936366754608,85.98736825572583,104.94500555880583,117.79335341015513,135.82399112698482,96.98624152497756,107.59061609568165,101.58285832674039,106.42215888382253,98.79170838454773,106.96258290783952,,,,,"Bill Kelso",1006820,116965
"Russ Kemmerer","- - -",1066.2,87.35785094515205,94.1536216279234,92.80735809692948,100.74300277541968,86.14344794177462,92.84330238206988,108.7015391206298,106.55353801123333,106.88257460163777,94.96035837711766,116.47718917635764,101.60713251591937,,,,,"Russ Kemmerer",1006824,116969
"Dutch Kemner","CIN",15.1,205.44525823207377,144.6501358982482,142.02909170750414,0,196.84233588589916,138.59297655019108,105.60791977871745,115.91490135810467,120.76342133090243,80.06425147439083,168.81288763387695,78.98711890857768,,,,,"Dutch Kemner",1006826,116971
"Ed Kenna","PHA",17,104.32386634906341,223.7237435569041,46.63066417311311,221.91061368973467,,,102.9264535044173,129.4729517274118,101.12171290828375,87.18751132137,143.61234819523122,138.33080670293103,,,,,"Ed Kenna",1006830,116977
"Art Kenney","BSN",2.1,228.88227853322363,1009.9237423443991,22.663323501384234,0,127.96944808401958,564.6543682753205,114.0771358759712,341.6061679330006,134.30898647934652,92.86095090202716,438.8869736964269,321.6467758445535,,,,,"Art Kenney",1006832,116995
"Bill Kennedy","WAS",63.2,80.17418568602255,172.52691885251988,46.270829030236975,84.45105053038048,73.3793160296638,157.92381861535014,110.61474875451434,130.99758495339904,109.25512995886591,76.35261548047482,196.19044385507584,128.46877053242724,,,,,"Bill Kennedy",1006833,116993
"Bill Kennedy","- - -",464.2,132.9613450209112,134.19709958054005,99.69951457080819,102.89259401699911,125.84463511655034,126.98640187267267,104.44712726036857,115.140431533291,108.76646958555303,97.90261963357727,109.71961450567156,101.22910451135397,,,,,"Bill Kennedy",1006834,116991
